Irr,Irr_target,I_power,Irr_10,Irr_20,Irr_30,Irr_40,Irr_50,Irr_60,Irr_70,Irr_80,Irr_90,Irr_100,TEMP,H_UVI,conversionrate,PRES,HUMD,WDSD
0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,1006.3,0.94,4.9
0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,1006.3,0.95,4.7
0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,0,0,1006.4,0.95,4.1
0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,1006.3,0.94,5
0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,0,0,1006.6,0.95,5.2
0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,0,0,1006.7,0.98,5.1
0,13,0,0,0,0,0,0,0,0,0,0,0,23.2,0.01,0,1006.5,1,4.9
0,13,0.22,0,0,0,0,0,0,0,0,0,0,23.1,0.01,0.1679,1006.9,1,4.9
13,12,1.22,0,0,0,0,0,0,0,0,0,0,23.1,0.02,0.4929,1007,1,4.9
13,14,3.76,13,0,0,0,0,0,0,0,0,0,23.1,0.04,0.6517,1007.2,1,5
12,25,2.97,13,13,0,0,0,0,0,0,0,0,23.2,0.06,0.5937,1007.3,1,6.4
14,40,3.6,12,13,13,0,0,0,0,0,0,0,23.1,0.08,0.6496,1007.4,1,6.1
25,106,7.44,14,12,13,13,0,0,0,0,0,0,23.1,0.12,0.7731,1007.4,1,6.2
40,62,15.88,25,14,12,13,13,0,0,0,0,0,23.2,0.15,0.855,1007.5,1,4.9
106,34,49.54,40,25,14,12,13,13,0,0,0,0,23.3,0.19,0.948,1007.5,1,4.9
62,46,29.44,106,40,25,14,12,13,13,0,0,0,23.3,0.25,0.8999,1007.6,1,5.1
34,40,13.53,62,106,40,25,14,12,13,13,0,0,23.2,0.28,0.8415,1007.7,1,4.8
46,30,19.81,34,62,106,40,25,14,12,13,13,0,23.1,0.33,0.8761,1007.8,0.99,4.9
40,26,17.54,46,34,62,106,40,25,14,12,13,13,23.1,0.38,0.8575,1007.8,0.99,4.5
30,41,13.95,40,46,34,62,106,40,25,14,12,13,23,0.44,0.8321,1007.9,0.99,4.7
26,31,9.85,30,40,46,34,62,106,40,25,14,12,22.9,0.45,0.7959,1007.9,0.99,4.9
41,18,18.01,26,30,40,46,34,62,106,40,25,14,23,0.46,0.8625,1008,1,4.5
31,50,11.77,41,26,30,40,46,34,62,106,40,25,23,0.47,0.8306,1008.3,1,3.5
18,48,5.63,31,41,26,30,40,46,34,62,106,40,22.9,0.5,0.7038,1008.4,1,4
50,63,20.03,18,31,41,26,30,40,46,34,62,106,22.9,0.56,0.8841,1008.1,1,5.2
48,211,17.01,50,18,31,41,26,30,40,46,34,62,22.9,0.65,0.8515,1008.2,0.99,5.1
63,108,24.14,48,50,18,31,41,26,30,40,46,34,23,0.84,0.8871,1008.3,1,4.7
211,205,98.11,63,48,50,18,31,41,26,30,40,46,23.3,1.05,0.9767,1008.3,1,3.9
108,251,50.94,211,63,48,50,18,31,41,26,30,40,24.7,1.92,0.9467,1008.3,0.99,4.6
205,802,89.77,108,211,63,48,50,18,31,41,26,30,24.8,2.57,0.9672,1008.2,0.99,5.2
251,470,116.71,205,108,211,63,48,50,18,31,41,26,26.2,3.55,0.9806,1008.3,0.98,4
802,572,280.96,251,205,108,211,63,48,50,18,31,41,26.2,4.54,0.9831,1008.2,0.97,5.5
470,147,215.69,802,251,205,108,211,63,48,50,18,31,27.8,6.06,0.9839,1008.1,0.93,5.5
572,133,246.76,470,802,251,205,108,211,63,48,50,18,27.4,7.28,0.9855,1008.2,0.94,5.9
147,162,69.64,572,470,802,251,205,108,211,63,48,50,27.1,7.43,0.9655,1008.4,0.94,5.3
133,221,58.5,147,572,470,802,251,205,108,211,63,48,26.6,7.44,0.9548,1008.5,0.95,4.6
162,253,76.58,133,147,572,470,802,251,205,108,211,63,26,6.79,0.9651,1008.6,0.96,4.1
221,212,105.63,162,133,147,572,470,802,251,205,108,211,26.2,6.13,0.9771,1008.5,0.95,3.5
253,144,119.15,221,162,133,147,572,470,802,251,205,108,25.7,4.91,0.978,1008.4,0.94,5.1
212,159,99.34,253,221,162,133,147,572,470,802,251,205,25.4,3.88,0.975,1008.3,0.94,4.9
144,154,69.62,212,253,221,162,133,147,572,470,802,251,25.3,3.26,0.9639,1008.3,0.93,5.1
159,145,72.84,144,212,253,221,162,133,147,572,470,802,25.4,3,0.9644,1008.3,0.92,5.1
