,train,test,parameters
0,0.7369331463300609,0.7061594202898551,"[24, 43, 'uniform', 'brute', 'manhattan']"
1,1.0,0.6641304347826087,"[15, 290, 'distance', 'auto', 'chebyshev']"
2,1.0,0.6554347826086956,"[45, 246, 'distance', 'brute', 'manhattan']"
3,1.0,0.697463768115942,"[35, 116, 'distance', 'brute', 'manhattan']"
4,0.6831229546517064,0.6130434782608696,"[22, 127, 'uniform', 'kd_tree', 'euclidean']"
5,1.0,0.7242753623188406,"[27, 236, 'distance', 'brute', 'manhattan']"
6,0.7888733052828425,0.7152173913043477,"[7, 55, 'uniform', 'ball_tree', 'manhattan']"
7,0.7046750818139319,0.6641304347826087,"[16, 229, 'uniform', 'auto', 'chebyshev']"
8,0.7369331463300609,0.7061594202898551,"[24, 200, 'uniform', 'kd_tree', 'manhattan']"
9,0.717601683029453,0.6811594202898551,"[28, 111, 'uniform', 'kd_tree', 'manhattan']"
10,0.7499532491818608,0.6981884057971015,"[12, 5, 'uniform', 'brute', 'euclidean']"
11,0.7456755493221132,0.7322463768115941,"[21, 21, 'uniform', 'brute', 'manhattan']"
12,1.0,0.7072463768115942,"[6, 208, 'distance', 'kd_tree', 'chebyshev']"
13,0.7478027115474521,0.6557971014492754,"[7, 35, 'uniform', 'brute', 'chebyshev']"
14,1.0,0.6728260869565217,"[26, 278, 'distance', 'kd_tree', 'euclidean']"
15,0.6745441795231417,0.5510869565217391,"[31, 58, 'uniform', 'kd_tree', 'chebyshev']"
16,1.0,0.6898550724637682,"[31, 155, 'distance', 'brute', 'manhattan']"
17,0.7176250584385228,0.6634057971014493,"[35, 38, 'uniform', 'brute', 'euclidean']"
18,1.0,0.7333333333333334,"[16, 264, 'distance', 'kd_tree', 'manhattan']"
19,1.0,0.6902173913043479,"[18, 61, 'distance', 'auto', 'euclidean']"
20,0.6487377279102383,0.5771739130434782,"[33, 130, 'uniform', 'kd_tree', 'chebyshev']"
21,0.6251051893408135,0.5528985507246377,"[50, 170, 'uniform', 'auto', 'manhattan']"
22,0.7154043945769051,0.6898550724637682,"[26, 140, 'uniform', 'brute', 'manhattan']"
23,0.7241000467508183,0.6550724637681159,"[35, 139, 'uniform', 'brute', 'manhattan']"
24,0.6831463300607762,0.6032608695652173,"[25, 55, 'uniform', 'kd_tree', 'chebyshev']"
25,0.6745441795231417,0.5510869565217391,"[31, 155, 'uniform', 'brute', 'chebyshev']"
26,0.7628330995792426,0.7322463768115941,"[18, 143, 'uniform', 'brute', 'manhattan']"
27,1.0,0.6471014492753623,"[28, 117, 'distance', 'brute', 'chebyshev']"
28,0.7888031790556335,0.7242753623188406,"[15, 97, 'uniform', 'brute', 'manhattan']"
29,0.778027115474521,0.6811594202898551,"[13, 97, 'uniform', 'brute', 'manhattan']"
30,0.7585553997194951,0.7155797101449275,"[20, 1, 'uniform', 'ball_tree', 'manhattan']"
31,1.0,0.7242753623188405,"[8, 297, 'distance', 'brute', 'manhattan']"
32,0.7133006077606358,0.672463768115942,"[37, 126, 'uniform', 'brute', 'manhattan']"
33,0.6960963066853669,0.6380434782608695,"[34, 113, 'uniform', 'kd_tree', 'manhattan']"
34,0.7133006077606358,0.6380434782608695,"[33, 145, 'uniform', 'brute', 'manhattan']"
35,1.0,0.7322463768115941,"[13, 102, 'distance', 'kd_tree', 'manhattan']"
36,1.0,0.6735507246376812,"[1, 138, 'distance', 'brute', 'manhattan']"
37,0.7305750350631136,0.6550724637681159,"[32, 300, 'uniform', 'kd_tree', 'euclidean']"
38,1.0,0.6898550724637681,"[48, 157, 'distance', 'brute', 'manhattan']"
39,0.6938756428237494,0.6384057971014493,"[43, 215, 'uniform', 'brute', 'manhattan']"
40,1.0,0.7242753623188405,"[8, 224, 'distance', 'kd_tree', 'manhattan']"
41,0.7025011687704535,0.6471014492753623,"[14, 280, 'uniform', 'ball_tree', 'chebyshev']"
42,0.773772791023843,0.6554347826086956,"[6, 98, 'uniform', 'kd_tree', 'manhattan']"
43,1.0,0.7333333333333334,"[16, 88, 'distance', 'kd_tree', 'manhattan']"
44,0.778027115474521,0.6811594202898551,"[13, 80, 'uniform', 'kd_tree', 'manhattan']"
45,1.0,0.7155797101449275,"[16, 99, 'distance', 'ball_tree', 'euclidean']"
46,0.717601683029453,0.6811594202898551,"[28, 228, 'uniform', 'auto', 'manhattan']"
47,0.7111266947171577,0.6471014492753623,"[30, 178, 'uniform', 'kd_tree', 'manhattan']"
48,0.7823048153342684,0.7416666666666667,"[14, 58, 'uniform', 'kd_tree', 'manhattan']"
49,0.7628330995792426,0.7322463768115941,"[18, 128, 'uniform', 'kd_tree', 'manhattan']"
50,1.0,0.6557971014492753,"[23, 300, 'distance', 'ball_tree', 'chebyshev']"
51,0.7111266947171577,0.6471014492753623,"[30, 286, 'uniform', 'kd_tree', 'manhattan']"
52,0.7025011687704535,0.6471014492753623,"[14, 227, 'uniform', 'kd_tree', 'chebyshev']"
53,1.0,0.6989130434782609,"[3, 226, 'distance', 'ball_tree', 'manhattan']"
54,1.0,0.7076086956521739,"[4, 113, 'distance', 'kd_tree', 'manhattan']"
55,1.0,0.7246376811594202,"[5, 214, 'distance', 'kd_tree', 'euclidean']"
56,0.7456755493221132,0.7322463768115941,"[21, 227, 'uniform', 'kd_tree', 'manhattan']"
57,1.0,0.6989130434782609,"[3, 1, 'distance', 'kd_tree', 'manhattan']"
58,0.6251051893408135,0.5528985507246377,"[50, 260, 'uniform', 'kd_tree', 'manhattan']"
59,1.0,0.6735507246376812,"[1, 84, 'uniform', 'kd_tree', 'manhattan']"
60,1.0,0.7333333333333334,"[16, 179, 'distance', 'brute', 'manhattan']"
61,0.7392005610098178,0.6550724637681159,"[10, 239, 'uniform', 'ball_tree', 'chebyshev']"
62,0.648690977092099,0.6217391304347826,"[47, 185, 'uniform', 'brute', 'manhattan']"
63,1.0,0.7409420289855072,"[21, 153, 'distance', 'brute', 'manhattan']"
64,0.7154043945769051,0.6898550724637682,"[26, 165, 'uniform', 'brute', 'manhattan']"
65,1.0,0.6728260869565217,"[26, 155, 'distance', 'kd_tree', 'euclidean']"
66,0.7888031790556335,0.7242753623188406,"[15, 143, 'uniform', 'brute', 'manhattan']"
67,0.6272089761570827,0.5518115942028985,"[36, 278, 'uniform', 'auto', 'chebyshev']"
68,0.7133006077606358,0.6380434782608695,"[33, 139, 'uniform', 'kd_tree', 'manhattan']"
69,0.7090696587190275,0.6807971014492754,"[38, 159, 'uniform', 'brute', 'manhattan']"
70,1.0,0.638768115942029,"[26, 1, 'distance', 'brute', 'chebyshev']"
71,0.6358578775128565,0.561231884057971,"[49, 77, 'uniform', 'kd_tree', 'manhattan']"
72,1.0,0.7757246376811594,"[15, 300, 'distance', 'brute', 'manhattan']"
73,1.0,0.7322463768115942,"[23, 214, 'distance', 'kd_tree', 'manhattan']"
74,1.0,0.7322463768115942,"[23, 132, 'distance', 'kd_tree', 'manhattan']"
75,0.7133006077606358,0.672463768115942,"[37, 11, 'uniform', 'brute', 'manhattan']"
76,0.6251051893408135,0.5528985507246377,"[50, 254, 'uniform', 'kd_tree', 'manhattan']"
77,1.0,0.6471014492753624,"[20, 9, 'distance', 'brute', 'chebyshev']"
78,1.0,0.6735507246376812,"[1, 259, 'distance', 'kd_tree', 'manhattan']"
79,0.7737260402057038,0.7329710144927536,"[17, 99, 'uniform', 'kd_tree', 'manhattan']"
80,1.0,0.6644927536231883,"[33, 211, 'distance', 'auto', 'euclidean']"
81,1.0,0.7068840579710145,"[24, 209, 'distance', 'ball_tree', 'manhattan']"
82,1.0,0.5688405797101449,"[50, 243, 'distance', 'brute', 'chebyshev']"
83,0.7240766713417486,0.6293478260869565,"[32, 260, 'uniform', 'brute', 'manhattan']"
84,0.61643291257597,0.5862318840579711,"[43, 204, 'uniform', 'brute', 'euclidean']"
85,1.0,0.7068840579710145,"[29, 219, 'distance', 'brute', 'manhattan']"
86,1.0,0.7409420289855072,"[21, 136, 'distance', 'kd_tree', 'manhattan']"
87,1.0,0.6818840579710145,"[9, 252, 'distance', 'auto', 'chebyshev']"
88,1.0,0.7239130434782609,"[19, 199, 'distance', 'brute', 'manhattan']"
89,0.648690977092099,0.6217391304347826,"[47, 288, 'uniform', 'kd_tree', 'manhattan']"
90,0.6831229546517064,0.6130434782608696,"[22, 1, 'uniform', 'brute', 'euclidean']"
91,1.0,0.7228260869565217,"[36, 80, 'distance', 'auto', 'manhattan']"
92,1.0,0.6811594202898551,"[29, 300, 'distance', 'brute', 'euclidean']"
93,1.0,0.6978260869565218,"[41, 218, 'distance', 'brute', 'manhattan']"
94,1.0,0.6891304347826086,"[38, 159, 'distance', 'brute', 'manhattan']"
95,0.7133006077606358,0.672463768115942,"[37, 196, 'uniform', 'brute', 'manhattan']"
96,1.0,0.7076086956521739,"[1, 278, 'uniform', 'brute', 'chebyshev']"
97,1.0,0.6815217391304348,"[17, 143, 'distance', 'brute', 'chebyshev']"
98,1.0,0.672463768115942,"[4, 240, 'distance', 'brute', 'chebyshev']"
99,0.6121785881252921,0.5608695652173913,"[39, 206, 'uniform', 'auto', 'chebyshev']"
100,1.0,0.7065217391304348,"[40, 147, 'distance', 'kd_tree', 'manhattan']"
101,1.0,0.6807971014492754,"[41, 245, 'distance', 'ball_tree', 'euclidean']"
102,0.6251051893408135,0.5528985507246377,"[50, 300, 'uniform', 'brute', 'manhattan']"
103,1.0,0.7061594202898551,"[34, 230, 'distance', 'brute', 'manhattan']"
104,1.0,0.6123188405797102,"[35, 125, 'distance', 'brute', 'chebyshev']"
