,train,test,parameters
0,0.9062310949788264,0.8752380952380951,"[6, 7, 'uniform', 'kd_tree', 'manhattan']"
1,1.0,0.8628571428571428,"[35, 222, 'distance', 'kd_tree', 'manhattan']"
2,0.8993345432546883,0.8619047619047618,"[10, 271, 'uniform', 'kd_tree', 'euclidean']"
3,1.0,0.8761904761904761,"[32, 67, 'distance', 'brute', 'euclidean']"
4,1.0,0.8761904761904763,"[10, 224, 'distance', 'kd_tree', 'manhattan']"
5,0.7083484573502722,0.7085714285714286,"[32, 118, 'uniform', 'auto', 'chebyshev']"
6,1.0,0.7085714285714286,"[29, 36, 'distance', 'brute', 'chebyshev']"
7,0.8749546279491833,0.8342857142857142,"[14, 144, 'uniform', 'brute', 'manhattan']"
8,0.8125226860254084,0.8333333333333333,"[31, 195, 'uniform', 'kd_tree', 'manhattan']"
9,1.0,0.8752380952380951,"[25, 125, 'distance', 'brute', 'manhattan']"
10,0.8958862673926195,0.8485714285714285,"[21, 243, 'uniform', 'kd_tree', 'manhattan']"
11,1.0,0.7085714285714286,"[44, 43, 'distance', 'kd_tree', 'manhattan']"
12,1.0,0.7085714285714286,"[45, 161, 'distance', 'auto', 'euclidean']"
13,1.0,0.8761904761904763,"[8, 254, 'distance', 'auto', 'manhattan']"
14,1.0,0.7361904761904763,"[39, 250, 'distance', 'brute', 'manhattan']"
15,1.0,0.721904761904762,"[43, 93, 'distance', 'kd_tree', 'manhattan']"
16,0.885480943738657,0.8619047619047618,"[25, 173, 'uniform', 'kd_tree', 'manhattan']"
17,0.7083484573502722,0.7085714285714286,"[35, 213, 'uniform', 'kd_tree', 'chebyshev']"
18,1.0,0.8761904761904763,"[10, 145, 'distance', 'auto', 'manhattan']"
19,0.7083484573502722,0.7085714285714286,"[30, 36, 'uniform', 'kd_tree', 'chebyshev']"
20,0.8889292196007258,0.8904761904761903,"[29, 99, 'uniform', 'auto', 'manhattan']"
21,0.8992740471869329,0.8619047619047618,"[13, 177, 'uniform', 'brute', 'euclidean']"
22,0.8785238959467634,0.8485714285714285,"[18, 208, 'uniform', 'brute', 'manhattan']"
23,0.7083484573502722,0.7085714285714286,"[28, 300, 'uniform', 'brute', 'chebyshev']"
24,1.0,0.8752380952380951,"[24, 158, 'distance', 'kd_tree', 'manhattan']"
25,1.0,0.8761904761904763,"[1, 231, 'distance', 'brute', 'manhattan']"
26,0.7083484573502722,0.7085714285714286,"[50, 126, 'uniform', 'brute', 'manhattan']"
27,1.0,0.8761904761904761,"[31, 173, 'distance', 'brute', 'manhattan']"
28,0.885480943738657,0.877142857142857,"[22, 225, 'uniform', 'auto', 'manhattan']"
29,0.8889292196007258,0.8904761904761903,"[29, 261, 'uniform', 'kd_tree', 'manhattan']"
30,0.7083484573502722,0.7085714285714286,"[34, 192, 'uniform', 'auto', 'manhattan']"
31,1.0,0.8761904761904763,"[15, 54, 'distance', 'brute', 'manhattan']"
32,0.8749546279491834,0.8342857142857142,"[20, 189, 'uniform', 'brute', 'euclidean']"
33,1.0,0.8895238095238096,"[14, 276, 'distance', 'ball_tree', 'manhattan']"
34,0.7083484573502722,0.7085714285714286,"[36, 186, 'uniform', 'brute', 'manhattan']"
35,0.7083484573502722,0.7085714285714286,"[42, 147, 'uniform', 'brute', 'manhattan']"
36,0.7083484573502722,0.7085714285714286,"[34, 195, 'uniform', 'brute', 'manhattan']"
37,1.0,0.8485714285714285,"[8, 143, 'distance', 'brute', 'chebyshev']"
38,0.7083484573502722,0.7085714285714286,"[34, 97, 'uniform', 'brute', 'manhattan']"
39,1.0,0.7638095238095238,"[18, 1, 'distance', 'brute', 'chebyshev']"
40,0.7083484573502722,0.7085714285714286,"[50, 232, 'uniform', 'auto', 'manhattan']"
41,0.7083484573502722,0.7085714285714286,"[34, 177, 'uniform', 'brute', 'chebyshev']"
42,0.7083484573502722,0.7085714285714286,"[41, 261, 'uniform', 'brute', 'manhattan']"
43,0.7813067150635209,0.8047619047619048,"[30, 1, 'uniform', 'brute', 'euclidean']"
44,0.7083484573502722,0.7085714285714286,"[37, 252, 'uniform', 'auto', 'manhattan']"
45,1.0,0.8761904761904763,"[10, 185, 'distance', 'brute', 'manhattan']"
46,1.0,0.7361904761904763,"[39, 198, 'distance', 'auto', 'manhattan']"
47,1.0,0.7085714285714286,"[46, 211, 'distance', 'auto', 'manhattan']"
48,0.7187537810042347,0.6952380952380952,"[23, 190, 'uniform', 'auto', 'chebyshev']"
49,0.7083484573502722,0.7085714285714286,"[36, 300, 'uniform', 'kd_tree', 'chebyshev']"
50,0.7083484573502722,0.7085714285714286,"[39, 187, 'uniform', 'brute', 'manhattan']"
51,1.0,0.8628571428571428,"[1, 179, 'uniform', 'brute', 'chebyshev']"
52,0.8159709618874773,0.7638095238095237,"[12, 184, 'uniform', 'kd_tree', 'chebyshev']"
53,0.7083484573502722,0.7085714285714286,"[49, 215, 'uniform', 'ball_tree', 'manhattan']"
54,0.8958862673926195,0.8904761904761903,"[27, 196, 'uniform', 'brute', 'manhattan']"
55,0.8958862673926195,0.8904761904761903,"[27, 205, 'uniform', 'brute', 'manhattan']"
56,0.7083484573502722,0.7085714285714286,"[40, 215, 'uniform', 'brute', 'manhattan']"
57,1.0,0.8904761904761905,"[5, 152, 'distance', 'brute', 'euclidean']"
58,0.7083484573502722,0.7085714285714286,"[37, 186, 'uniform', 'brute', 'chebyshev']"
59,1.0,0.8066666666666666,"[14, 169, 'distance', 'brute', 'chebyshev']"
60,0.7083484573502722,0.7085714285714286,"[50, 194, 'uniform', 'brute', 'manhattan']"
61,1.0,0.7085714285714286,"[43, 210, 'distance', 'kd_tree', 'chebyshev']"
62,0.885480943738657,0.8619047619047618,"[25, 300, 'uniform', 'brute', 'manhattan']"
63,1.0,0.8485714285714285,"[19, 1, 'distance', 'brute', 'euclidean']"
64,0.8854204476709014,0.8628571428571428,"[23, 264, 'uniform', 'kd_tree', 'manhattan']"
65,0.7326073805202663,0.7371428571428571,"[32, 235, 'uniform', 'brute', 'manhattan']"
66,1.0,0.8761904761904763,"[1, 237, 'uniform', 'auto', 'manhattan']"
67,0.7083484573502722,0.7085714285714286,"[43, 210, 'uniform', 'brute', 'manhattan']"
68,0.7986085904416214,0.7923809523809523,"[30, 227, 'uniform', 'brute', 'manhattan']"
69,0.7083484573502722,0.7085714285714286,"[44, 203, 'uniform', 'brute', 'manhattan']"
70,0.7083484573502722,0.7085714285714286,"[43, 245, 'uniform', 'ball_tree', 'manhattan']"
71,0.7083484573502722,0.7085714285714286,"[34, 190, 'uniform', 'brute', 'euclidean']"
72,0.7326073805202663,0.7371428571428571,"[32, 227, 'uniform', 'brute', 'manhattan']"
73,1.0,0.862857142857143,"[18, 187, 'distance', 'kd_tree', 'manhattan']"
74,0.8749546279491833,0.8342857142857142,"[14, 220, 'uniform', 'brute', 'manhattan']"
75,0.8750151240169389,0.8485714285714285,"[20, 232, 'uniform', 'brute', 'manhattan']"
76,0.7083484573502722,0.7085714285714286,"[40, 200, 'uniform', 'ball_tree', 'manhattan']"
77,0.8472474289171205,0.8609523809523811,"[28, 205, 'uniform', 'brute', 'euclidean']"
78,1.0,0.862857142857143,"[19, 211, 'distance', 'auto', 'manhattan']"
79,0.885480943738657,0.8619047619047618,"[25, 272, 'uniform', 'brute', 'manhattan']"
80,0.8923774954627948,0.8619047619047618,"[23, 157, 'uniform', 'brute', 'euclidean']"
81,1.0,0.7085714285714286,"[50, 180, 'distance', 'brute', 'chebyshev']"
82,0.8992740471869329,0.8752380952380951,"[25, 300, 'uniform', 'brute', 'euclidean']"
83,1.0,0.8761904761904763,"[15, 1, 'distance', 'brute', 'manhattan']"
84,1.0,0.8761904761904761,"[29, 280, 'distance', 'kd_tree', 'manhattan']"
85,0.8750151240169389,0.8485714285714285,"[20, 230, 'uniform', 'brute', 'manhattan']"
86,0.9410768300060497,0.8904761904761903,"[2, 205, 'uniform', 'brute', 'manhattan']"
87,0.7083484573502722,0.7085714285714286,"[42, 177, 'uniform', 'kd_tree', 'chebyshev']"
88,1.0,0.7914285714285714,"[35, 202, 'distance', 'brute', 'euclidean']"
89,1.0,0.862857142857143,"[1, 203, 'uniform', 'auto', 'euclidean']"
90,0.7083484573502722,0.7085714285714286,"[36, 240, 'uniform', 'ball_tree', 'manhattan']"
91,1.0,0.8761904761904761,"[30, 174, 'distance', 'brute', 'manhattan']"
92,1.0,0.7085714285714286,"[40, 212, 'distance', 'auto', 'euclidean']"
