,train,test,parameters
0,0.7779441884280593,0.7534989648033127,"[15, 173, 'uniform', 'kd_tree', 'euclidean']"
1,1.0,0.7392132505175983,"[18, 256, 'distance', 'kd_tree', 'chebyshev']"
2,1.0,0.7304761904761905,"[47, 117, 'distance', 'brute', 'chebyshev']"
3,1.0,0.742111801242236,"[17, 81, 'distance', 'kd_tree', 'manhattan']"
4,0.7743522785458269,0.742111801242236,"[17, 7, 'uniform', 'kd_tree', 'manhattan']"
5,0.7593138760880696,0.7448447204968944,"[49, 281, 'uniform', 'ball_tree', 'manhattan']"
6,0.74426267281106,0.7477846790890269,"[35, 207, 'uniform', 'brute', 'chebyshev']"
7,1.0,0.7448447204968944,"[28, 109, 'distance', 'kd_tree', 'manhattan']"
8,0.7922811059907834,0.7392546583850932,"[9, 179, 'uniform', 'kd_tree', 'chebyshev']"
9,0.7621863799283154,0.7448861283643893,"[19, 93, 'uniform', 'auto', 'euclidean']"
10,1.0,0.7908074534161491,"[6, 226, 'distance', 'kd_tree', 'manhattan']"
11,0.785110087045571,0.7478260869565216,"[12, 88, 'uniform', 'brute', 'chebyshev']"
12,0.7414055299539171,0.7333747412008281,"[36, 48, 'uniform', 'auto', 'euclidean']"
13,1.0,0.7965217391304347,"[5, 118, 'distance', 'kd_tree', 'manhattan']"
14,1.0,0.7534575569358177,"[24, 211, 'distance', 'kd_tree', 'manhattan']"
15,1.0,0.7448447204968944,"[28, 69, 'distance', 'brute', 'manhattan']"
16,0.7714951356886841,0.7477432712215321,"[26, 160, 'uniform', 'brute', 'manhattan']"
17,0.7650409626216077,0.7419875776397515,"[31, 20, 'uniform', 'kd_tree', 'manhattan']"
18,1.0,0.7477846790890269,"[35, 35, 'distance', 'brute', 'chebyshev']"
19,1.0,0.7965217391304347,"[5, 147, 'distance', 'kd_tree', 'manhattan']"
20,1.0,0.7448447204968944,"[23, 133, 'distance', 'kd_tree', 'euclidean']"
21,0.7729288274449565,0.7591718426501035,"[24, 80, 'uniform', 'kd_tree', 'manhattan']"
22,1.0,0.7563561076604555,"[13, 75, 'distance', 'ball_tree', 'euclidean']"
23,0.7593189964157706,0.7390890269151138,"[43, 182, 'uniform', 'kd_tree', 'manhattan']"
24,1.0,0.7448861283643893,"[27, 1, 'distance', 'brute', 'manhattan']"
25,1.0,0.7448861283643893,"[27, 109, 'distance', 'brute', 'manhattan']"
26,1.0,0.7507246376811594,"[13, 274, 'distance', 'kd_tree', 'manhattan']"
27,0.7729262672811059,0.7420289855072464,"[21, 34, 'uniform', 'ball_tree', 'manhattan']"
28,1.0,0.7477432712215321,"[34, 246, 'distance', 'auto', 'chebyshev']"
29,1.0,0.7448861283643893,"[27, 24, 'distance', 'brute', 'manhattan']"
30,1.0,0.7448861283643893,"[37, 13, 'distance', 'brute', 'chebyshev']"
31,1.0,0.7419875776397515,"[31, 216, 'distance', 'kd_tree', 'chebyshev']"
32,0.7894009216589861,0.7507246376811594,"[13, 85, 'uniform', 'brute', 'manhattan']"
33,0.7729262672811059,0.7420289855072464,"[21, 220, 'uniform', 'auto', 'manhattan']"
34,1.0,0.7593374741200828,"[14, 28, 'distance', 'brute', 'manhattan']"
35,0.7543010752688172,0.7391718426501035,"[19, 197, 'uniform', 'brute', 'chebyshev']"
36,0.74426267281106,0.7477846790890269,"[35, 166, 'uniform', 'kd_tree', 'chebyshev']"
37,0.7363876088069636,0.7304761904761905,"[50, 300, 'uniform', 'ball_tree', 'chebyshev']"
38,1.0,0.733664596273292,"[1, 179, 'uniform', 'ball_tree', 'manhattan']"
39,1.0,0.7391718426501035,"[22, 55, 'distance', 'ball_tree', 'manhattan']"
40,1.0,0.7965217391304347,"[5, 157, 'distance', 'brute', 'manhattan']"
41,0.7729288274449565,0.7477846790890269,"[18, 37, 'uniform', 'kd_tree', 'euclidean']"
42,1.0,0.7393788819875776,"[1, 106, 'distance', 'ball_tree', 'euclidean']"
43,0.762178699436764,0.7505590062111801,"[36, 193, 'uniform', 'brute', 'manhattan']"
44,1.0,0.7534575569358177,"[25, 141, 'distance', 'auto', 'manhattan']"
45,1.0,0.7650931677018633,"[12, 48, 'distance', 'auto', 'manhattan']"
46,1.0,0.7765631469979296,"[6, 141, 'distance', 'kd_tree', 'euclidean']"
47,1.0,0.7448447204968944,"[38, 220, 'distance', 'brute', 'manhattan']"
48,1.0,0.7333747412008281,"[25, 88, 'distance', 'brute', 'euclidean']"
49,1.0,0.7736645962732919,"[10, 127, 'distance', 'auto', 'manhattan']"
50,1.0,0.736231884057971,"[33, 131, 'distance', 'kd_tree', 'euclidean']"
51,1.0,0.7534575569358177,"[25, 117, 'distance', 'brute', 'manhattan']"
52,0.8008704557091655,0.7593374741200828,"[7, 186, 'uniform', 'kd_tree', 'chebyshev']"
53,1.0,0.742111801242236,"[19, 89, 'distance', 'kd_tree', 'manhattan']"
54,0.8015821812596006,0.7622360248447204,"[12, 1, 'uniform', 'brute', 'manhattan']"
55,0.770778289810548,0.7392132505175983,"[19, 147, 'uniform', 'brute', 'manhattan']"
56,0.7442652329749104,0.7391718426501035,"[43, 115, 'uniform', 'kd_tree', 'chebyshev']"
57,1.0,0.7477018633540372,"[30, 300, 'distance', 'auto', 'manhattan']"
58,1.0,0.7304761904761905,"[50, 59, 'distance', 'auto', 'chebyshev']"
59,0.7850998463901689,0.7592960662525879,"[16, 216, 'uniform', 'brute', 'manhattan']"
60,1.0,0.7392132505175983,"[18, 170, 'distance', 'kd_tree', 'chebyshev']"
