,train,test,parameters
0,0.5171341748480598,0.5003623188405797,"[59, 91, 0.41898, 0.3942, 47698, 0.16382, 0.9882, 0.7869, 696, 'identity', 'lbfgs', 'adaptive']"
1,0.5517297802711547,0.5518115942028985,"[451, 100, 0.00399, 0.321, 2090, 0.09377, 0.5238, 0.9378, 412, 'logistic', 'sgd', 'invscaling']"
2,0.7673211781206172,0.6898550724637681,"[231, 114, 0.47912, 0.4394, 4564, 0.40655, 0.1509, 0.1019, 510, 'identity', 'sgd', 'invscaling']"
3,0.7823515661524076,0.7333333333333334,"[283, 323, 0.35819, 0.4645, 42492, 0.10172, 0.5724, 0.9416, 856, 'tanh', 'sgd', 'invscaling']"
4,0.5193782141187471,0.5431159420289855,"[209, 19, 0.05429, 0.4045, 48503, 0.17885, 0.0033, 0.7393, 151, 'identity', 'adam', 'constant']"
5,0.5517297802711547,0.5518115942028985,"[256, 108, 0.12965, 0.1507, 13609, 0.24718, 0.0108, 0.1287, 551, 'logistic', 'adam', 'invscaling']"
6,0.5323749415614774,0.5257246376811594,"[263, 381, 0.30308, 0.1859, 49808, 0.34366, 0.584, 0.0779, 240, 'logistic', 'adam', 'adaptive']"
7,0.5299906498363721,0.5351449275362319,"[311, 206, 0.2612, 0.1128, 26355, 0.33523, 0.6165, 0.1915, 265, 'logistic', 'lbfgs', 'adaptive']"
8,0.6830995792426368,0.6391304347826088,"[382, 214, 0.13479, 0.2176, 41424, 0.10076, 0.6689, 0.081, 390, 'identity', 'adam', 'invscaling']"
9,0.5173211781206171,0.5257246376811594,"[60, 84, 0.06963, 0.2236, 39314, 0.32385, 0.1974, 0.6706, 98, 'logistic', 'lbfgs', 'constant']"
10,0.5517297802711547,0.5518115942028985,"[100, 293, 0.35158, 0.2307, 33035, 0.03948, 0.3985, 0.9627, 679, 'logistic', 'lbfgs', 'invscaling']"
11,0.5517297802711547,0.5518115942028985,"[220, 118, 0.34531, 0.0721, 7230, 0.15188, 0.6948, 0.9136, 333, 'logistic', 'sgd', 'invscaling']"
12,0.5861383824216924,0.5518115942028985,"[86, 17, 0.0806, 0.1018, 48132, 0.4005, 0.4708, 0.976, 872, 'relu', 'sgd', 'invscaling']"
13,0.7263908368396448,0.6206521739130435,"[209, 484, 0.35055, 0.1627, 21036, 0.32886, 0.0928, 0.4205, 708, 'tanh', 'sgd', 'invscaling']"
14,0.5517297802711547,0.5518115942028985,"[67, 142, 0.36694, 0.2836, 23200, 0.02265, 0.6142, 0.028, 692, 'logistic', 'sgd', 'invscaling']"
15,0.8834268349696119,0.7333333333333333,"[313, 439, 0.24583, 0.0697, 20627, 0.34219, 0.4029, 0.4466, 338, 'relu', 'adam', 'invscaling']"
16,0.6789387564282375,0.6380434782608695,"[483, 487, 0.30258, 0.1753, 9635, 0.16139, 0.7236, 0.5037, 82, 'tanh', 'sgd', 'invscaling']"
17,0.5517297802711547,0.5518115942028985,"[149, 165, 0.05093, 0.0161, 33608, 0.17825, 0.7589, 0.5206, 19, 'logistic', 'adam', 'constant']"
18,0.5517297802711547,0.5518115942028985,"[224, 9, 0.10196, 0.2435, 33196, 0.00578, 0.4044, 0.1745, 987, 'relu', 'adam', 'invscaling']"
19,0.7974287050023376,0.7594202898550725,"[2, 413, 0.0177, 0.0741, 12282, 0.25962, 0.3213, 0.3748, 619, 'identity', 'sgd', 'constant']"
20,0.5517297802711547,0.5518115942028985,"[168, 335, 0.09213, 0.1261, 1000, 0.04539, 0.3708, 0.999, 135, 'logistic', 'lbfgs', 'adaptive']"
21,,,"[328, 1, 0.29464, 0.0, 36886, 0.18242, 0.8943, 0.2294, 511, 'tanh', 'sgd', 'invscaling']"
22,0.5517297802711547,0.5518115942028985,"[269, 28, 0.35077, 0.5, 30128, 0.25438, 0.1968, 0.3697, 340, 'logistic', 'sgd', 'constant']"
23,0.7651706404862086,0.6898550724637681,"[267, 499, 0.5, 0.4918, 41329, 0.16955, 0.999, 0.7113, 369, 'tanh', 'sgd', 'invscaling']"
24,0.5130201028517999,0.4996376811594202,"[1, 500, 0.29991, 0.049, 13918, 0.15069, 0.7098, 0.1515, 72, 'logistic', 'adam', 'constant']"
25,0.4482702197288453,0.44818840579710145,"[94, 341, 0.23397, 0.1647, 34800, 0.09858, 0.507, 0.3451, 582, 'tanh', 'adam', 'invscaling']"
26,0.5474287050023375,0.5692028985507246,"[203, 239, 0.34871, 0.2216, 50000, 0.04215, 0.001, 0.0605, 356, 'tanh', 'lbfgs', 'adaptive']"
