,train,test,parameters
0,0.566606170598911,0.5809523809523809,"[128, 332, 0.32661, 0.4209, 40869, 0.26486, 0.0328, 0.6681, 952, 'tanh', 'lbfgs', 'constant']"
1,0.8231094978826377,0.7780952380952382,"[370, 46, 0.06997, 0.2754, 12102, 0.26123, 0.3753, 0.5827, 615, 'identity', 'sgd', 'adaptive']"
2,1.0,0.9447619047619048,"[426, 399, 0.16281, 0.4658, 16495, 0.37019, 0.0659, 0.5218, 415, 'tanh', 'sgd', 'invscaling']"
3,0.7644888082274652,0.7352380952380952,"[300, 358, 0.07112, 0.3051, 38919, 0.18573, 0.2948, 0.5758, 958, 'logistic', 'adam', 'invscaling']"
4,1.0,0.9180952380952382,"[107, 375, 0.12574, 0.1823, 16699, 0.44242, 0.5635, 0.4645, 465, 'relu', 'sgd', 'constant']"
5,0.9403508771929825,0.9057142857142857,"[342, 352, 0.00569, 0.2781, 10480, 0.07619, 0.7837, 0.6814, 114, 'tanh', 'sgd', 'constant']"
6,0.4864488808227465,0.42952380952380953,"[259, 215, 0.42252, 0.4043, 41125, 0.30904, 0.5323, 0.5127, 959, 'tanh', 'lbfgs', 'invscaling']"
7,0.6255898366606171,0.6228571428571429,"[339, 232, 0.3337, 0.3897, 34961, 0.07944, 0.335, 0.0012, 426, 'tanh', 'adam', 'adaptive']"
8,0.438173018753781,0.5095238095238095,"[216, 133, 0.02642, 0.3823, 41720, 0.40117, 0.7649, 0.5875, 444, 'tanh', 'lbfgs', 'constant']"
9,0.7083484573502722,0.7085714285714286,"[470, 415, 0.34389, 0.2678, 36014, 0.41878, 0.5249, 0.9583, 286, 'logistic', 'sgd', 'invscaling']"
10,1.0,0.9180952380952382,"[257, 265, 0.13948, 0.1871, 7653, 0.20707, 0.7925, 0.4762, 753, 'tanh', 'sgd', 'constant']"
11,0.7083484573502722,0.7085714285714286,"[378, 494, 0.31168, 0.3118, 37535, 0.01381, 0.6579, 0.055, 741, 'relu', 'adam', 'invscaling']"
12,1.0,0.9180952380952382,"[392, 233, 0.22994, 0.125, 26557, 0.19621, 0.7307, 0.1311, 733, 'identity', 'sgd', 'adaptive']"
13,1.0,0.9314285714285715,"[52, 388, 0.03268, 0.4242, 9078, 0.15023, 0.3296, 0.2759, 256, 'identity', 'sgd', 'invscaling']"
14,1.0,0.9323809523809524,"[47, 43, 0.40648, 0.1197, 41041, 0.41137, 0.6847, 0.6694, 598, 'identity', 'sgd', 'adaptive']"
15,0.7083484573502722,0.7085714285714286,"[241, 341, 0.18217, 0.2958, 25340, 0.08486, 0.3518, 0.2783, 871, 'logistic', 'lbfgs', 'invscaling']"
16,1.0,0.9323809523809524,"[470, 476, 0.3265, 0.1488, 2415, 0.42003, 0.5679, 0.2656, 352, 'relu', 'sgd', 'adaptive']"
17,0.46823956442831216,0.44571428571428573,"[482, 381, 0.38511, 0.1564, 45961, 0.48718, 0.4196, 0.9055, 40, 'identity', 'lbfgs', 'adaptive']"
18,0.9379310344827585,0.8752380952380954,"[126, 265, 0.30375, 0.3198, 10275, 0.44793, 0.5724, 0.8512, 441, 'relu', 'adam', 'invscaling']"
19,0.7083484573502722,0.7085714285714286,"[116, 402, 0.43057, 0.3586, 4108, 0.2275, 0.8019, 0.2707, 10, 'relu', 'sgd', 'invscaling']"
20,0.7083484573502722,0.7085714285714286,"[366, 212, 0.37306, 0.2729, 1000, 0.30924, 0.6595, 0.8208, 706, 'logistic', 'sgd', 'invscaling']"
21,1.0,0.9323809523809524,"[202, 375, 0.33223, 0.2394, 16303, 0.02129, 0.4893, 0.7371, 532, 'relu', 'sgd', 'constant']"
22,0.9964912280701753,0.9447619047619048,"[150, 236, 0.45166, 0.2567, 37209, 0.26591, 0.3984, 0.4766, 568, 'tanh', 'sgd', 'invscaling']"
23,1.0,0.9323809523809524,"[359, 161, 0.35474, 0.2101, 47939, 0.06865, 0.7982, 0.4212, 796, 'tanh', 'sgd', 'adaptive']"
24,0.5349062310949788,0.5542857142857143,"[165, 179, 0.38436, 0.4426, 26154, 0.33893, 0.9292, 0.5495, 641, 'relu', 'lbfgs', 'constant']"
25,0.7083484573502722,0.7085714285714286,"[228, 168, 0.22898, 0.2481, 21850, 0.14814, 0.334, 0.692, 590, 'relu', 'lbfgs', 'adaptive']"
26,0.7083484573502722,0.7085714285714286,"[252, 500, 0.03506, 0.3036, 10811, 0.21434, 0.7995, 0.5367, 1000, 'tanh', 'adam', 'invscaling']"
27,1.0,0.9447619047619048,"[125, 257, 0.22111, 0.2834, 30125, 0.10252, 0.5284, 0.4862, 586, 'tanh', 'sgd', 'invscaling']"
28,0.5861464004839685,0.6276190476190477,"[336, 275, 0.47722, 0.2451, 16761, 0.30484, 0.7753, 0.6991, 381, 'relu', 'lbfgs', 'invscaling']"
29,0.6255898366606171,0.6228571428571429,"[335, 369, 0.5, 0.5, 23462, 0.15986, 0.5893, 0.001, 491, 'tanh', 'sgd', 'constant']"
30,1.0,0.9447619047619048,"[284, 483, 0.07452, 0.3521, 35789, 1e-05, 0.999, 0.5794, 616, 'tanh', 'sgd', 'invscaling']"
31,0.7083484573502722,0.7085714285714286,"[292, 284, 0.10704, 0.4056, 7442, 0.5, 0.6737, 0.5913, 122, 'logistic', 'sgd', 'invscaling']"
32,0.7188747731397459,0.7085714285714286,"[209, 256, 0.12807, 0.4012, 24328, 0.0696, 0.8482, 0.4221, 431, 'tanh', 'lbfgs', 'adaptive']"
33,0.6494857834240775,0.5980952380952381,"[500, 340, 0.05775, 0.2107, 17723, 0.31665, 0.7005, 0.151, 209, 'identity', 'lbfgs', 'constant']"
34,0.9413793103448276,0.8752380952380954,"[1, 1, 0.38086, 0.194, 30352, 0.08119, 0.6662, 0.2763, 725, 'tanh', 'sgd', 'constant']"
35,0.44107683000604964,0.39904761904761904,"[202, 192, 0.01891, 0.2401, 30227, 0.40971, 0.4796, 0.204, 494, 'tanh', 'lbfgs', 'adaptive']"
36,1.0,0.9323809523809524,"[174, 304, 0.37362, 0.2027, 31438, 0.25393, 0.3956, 0.4353, 511, 'tanh', 'sgd', 'adaptive']"
37,,,"[122, 250, 0.18131, 0.0, 50000, 0.35243, 0.5014, 0.1697, 769, 'tanh', 'sgd', 'adaptive']"
38,0.9930429522081065,0.9447619047619048,"[168, 366, 1e-05, 0.262, 24065, 0.23348, 0.001, 0.6389, 350, 'tanh', 'sgd', 'invscaling']"
39,0.7083484573502722,0.7085714285714286,"[349, 194, 0.28711, 0.284, 20349, 0.26405, 0.3811, 0.999, 1, 'tanh', 'sgd', 'invscaling']"
40,,,"[428, 122, 0.18379, 0.0, 3296, 0.27723, 0.973, 0.186, 1, 'logistic', 'sgd', 'adaptive']"
