,train,test,parameters
0,0.49784178187403993,0.498592132505176,"[405, 278, 0.19382, 0.3615, 30629, 0.14166, 0.2826, 0.0537, 163, 'logistic', 'adam', 'adaptive']"
1,0.5100281618023554,0.5100207039337474,"[328, 65, 0.38886, 0.3844, 37817, 0.07392, 0.6397, 0.9486, 455, 'relu', 'adam', 'adaptive']"
2,0.540099846390169,0.5216563146997929,"[365, 318, 0.39255, 0.4329, 46472, 0.12784, 0.0484, 0.3878, 293, 'identity', 'lbfgs', 'invscaling']"
3,0.48997183819764467,0.4899792960662526,"[106, 364, 0.21555, 0.3295, 14133, 0.07452, 0.3585, 0.2718, 974, 'tanh', 'adam', 'invscaling']"
4,0.5078929851510496,0.48426501035196684,"[198, 17, 0.27201, 0.3426, 6762, 0.25506, 0.8576, 0.2851, 680, 'identity', 'lbfgs', 'adaptive']"
5,0.9341116231438813,0.8366873706004141,"[261, 231, 0.26006, 0.4647, 48118, 0.18851, 0.3269, 0.7615, 753, 'tanh', 'sgd', 'adaptive']"
6,0.5014260112647209,0.5043064182194616,"[138, 172, 0.44176, 0.313, 17675, 0.22279, 0.0444, 0.7845, 982, 'logistic', 'adam', 'constant']"
7,0.8280926779313876,0.793664596273292,"[273, 171, 0.03151, 0.1861, 34051, 0.11497, 0.8642, 0.0716, 929, 'tanh', 'sgd', 'invscaling']"
8,0.8560163850486431,0.8109316770186336,"[96, 109, 0.25355, 0.3715, 9404, 0.266, 0.8301, 0.2245, 790, 'tanh', 'sgd', 'invscaling']"
9,0.8531515616999489,0.8052173913043479,"[491, 303, 0.22463, 0.3698, 14334, 0.30822, 0.7749, 0.0571, 876, 'relu', 'sgd', 'invscaling']"
10,0.8087352790578596,0.7936231884057972,"[332, 219, 0.36732, 0.365, 49667, 0.38176, 0.5777, 0.1954, 181, 'relu', 'sgd', 'invscaling']"
11,0.4985739887352791,0.4956935817805383,"[283, 468, 0.37666, 0.1506, 7512, 0.10253, 0.4205, 0.561, 484, 'tanh', 'adam', 'invscaling']"
12,0.5100281618023554,0.5100207039337474,"[74, 147, 0.44713, 0.2638, 17060, 0.09972, 0.4615, 0.7174, 154, 'logistic', 'sgd', 'adaptive']"
13,0.49784178187404005,0.498592132505176,"[313, 496, 0.43144, 0.094, 30198, 0.44095, 0.9726, 0.2597, 984, 'logistic', 'lbfgs', 'adaptive']"
14,0.7865232974910394,0.7735817805383022,"[162, 293, 0.07392, 0.1197, 19103, 0.33059, 0.1154, 0.3431, 89, 'identity', 'sgd', 'invscaling']"
15,0.5771710189452126,0.5708902691511387,"[11, 224, 0.40203, 0.3823, 43221, 0.49238, 0.1419, 0.45, 372, 'logistic', 'sgd', 'adaptive']"
16,0.49355606758832565,0.4956935817805383,"[151, 374, 0.06348, 0.4259, 36120, 0.49911, 0.0768, 0.2213, 620, 'tanh', 'sgd', 'constant']"
17,0.6030542754736303,0.5792546583850932,"[21, 426, 0.21268, 0.1596, 44328, 0.02709, 0.314, 0.5332, 724, 'relu', 'adam', 'adaptive']"
18,0.49714029697900664,0.501407867494824,"[229, 333, 0.04109, 0.2566, 31109, 0.1971, 0.4454, 0.9298, 40, 'tanh', 'adam', 'constant']"
19,0.4985739887352791,0.4956935817805383,"[284, 389, 0.26446, 0.4071, 29737, 0.29778, 0.0132, 0.8341, 779, 'logistic', 'adam', 'adaptive']"
20,0.48997183819764467,0.4899792960662526,"[93, 66, 0.21434, 0.4537, 41057, 0.44593, 0.2505, 0.3473, 1, 'logistic', 'sgd', 'invscaling']"
21,0.7822247823860727,0.7536231884057971,"[329, 268, 0.29793, 0.4121, 24948, 1e-05, 0.4831, 0.1324, 679, 'logistic', 'sgd', 'constant']"
22,0.8581643625192011,0.8023188405797101,"[37, 64, 0.22997, 0.2948, 35485, 0.06762, 0.8842, 0.6705, 704, 'logistic', 'sgd', 'constant']"
23,0.49714029697900675,0.501407867494824,"[152, 233, 0.31268, 0.3008, 18830, 0.33385, 0.7246, 0.1208, 492, 'logistic', 'lbfgs', 'invscaling']"
24,0.5064439324116743,0.5043064182194616,"[12, 185, 0.38988, 0.1742, 23441, 0.25699, 0.001, 0.001, 755, 'relu', 'adam', 'adaptive']"
25,0.5028597030209934,0.498592132505176,"[165, 181, 0.09012, 0.314, 24776, 0.24049, 0.5485, 0.5305, 695, 'logistic', 'lbfgs', 'invscaling']"
