,train,test,parameters
0,0.5517297802711547,0.5518115942028985,"[612.0338918824871, 0.20879344482360754, 119241.32324667835, 302.4854835495239, 'sigmoid']"
1,0.7823281907433381,0.7333333333333332,"[957.2218692022938, 0.7818348044767282, 155520.43425436076, 193.54431687024183, 'linear']"
2,0.7930575035063114,0.725,"[1000.0, 1e-05, 200000.0, 500.0, 'linear']"
3,0.5517297802711547,0.5518115942028985,"[1.0, 0.8, 100.0, 0.0001, 'sigmoid']"
4,0.596984572230014,0.5786231884057971,"[1000.0, 1e-05, 100.0, 500.0, 'linear']"
5,0.5517297802711547,0.5518115942028985,"[1.0, 0.8, 200000.0, 0.0001, 'sigmoid']"
6,0.5517297802711547,0.5518115942028985,"[1.0, 1e-05, 100.0, 0.0001, 'sigmoid']"
7,0.788779803646564,0.7329710144927536,"[1000.0, 0.8, 200000.0, 500.0, 'linear']"
8,0.5517297802711547,0.5518115942028985,"[1.0, 0.8, 100.0, 0.0001, 'sigmoid']"
9,0.7930575035063114,0.725,"[1000.0, 1e-05, 200000.0, 500.0, 'linear']"
10,0.7930575035063114,0.725,"[1000.0, 1e-05, 200000.0, 500.0, 'linear']"
11,0.5517297802711547,0.5518115942028985,"[1.0, 0.8, 100.0, 0.0001, 'sigmoid']"
12,0.7456989247311828,0.6206521739130435,"[1.0, 1e-05, 100.0, 500.0, 'linear']"
13,0.5517297802711547,0.5518115942028985,"[1000.0, 0.8, 200000.0, 0.0001, 'sigmoid']"
14,0.5517297802711547,0.5518115942028985,"[1000.0, 1e-05, 200000.0, 0.0001, 'sigmoid']"
15,0.7178354371201495,0.6380434782608695,"[1.0, 0.8, 100.0, 500.0, 'linear']"
16,0.5517297802711547,0.5518115942028985,"[1000.0, 0.8, 200000.0, 500.0, 'sigmoid']"
17,0.7456989247311828,0.6206521739130435,"[1.0, 1e-05, 100.0, 0.0001, 'linear']"
18,0.7930575035063114,0.725,"[1000.0, 1e-05, 200000.0, 0.0001, 'linear']"
