,train,test,parameters
0,1.0,0.7085714285714286,"[262.4591090785598, 0.21405744116244302, 187146.72357668245, 484.16730208874435, 'rbf']"
1,1.0,0.9038095238095238,"[882.3822645670002, 0.7096234947089259, 23288.015579026636, 292.01158592432205, 'poly']"
2,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 100.0, 500.0, 'linear']"
3,0.9201451905626135,0.8904761904761903,"[1000.0, 1e-05, 200000.0, 0.0001, 'sigmoid']"
4,0.9201451905626135,0.8904761904761903,"[1000.0, 1e-05, 200000.0, 0.0001, 'sigmoid']"
5,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 100.0, 500.0, 'linear']"
6,0.9201451905626135,0.8904761904761903,"[1000.0, 1e-05, 200000.0, 0.0001, 'sigmoid']"
7,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 100.0, 500.0, 'linear']"
8,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 100.0, 500.0, 'linear']"
9,0.9201451905626135,0.8904761904761903,"[1000.0, 1e-05, 200000.0, 0.0001, 'sigmoid']"
10,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 200000.0, 500.0, 'linear']"
11,0.9201451905626135,0.8904761904761903,"[1000.0, 1e-05, 100.0, 0.0001, 'sigmoid']"
12,0.9201451905626135,0.8904761904761903,"[1000.0, 1e-05, 100.0, 0.0001, 'sigmoid']"
13,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 200000.0, 500.0, 'linear']"
14,0.9201451905626135,0.8904761904761903,"[1000.0, 1e-05, 100.0, 0.0001, 'sigmoid']"
15,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 200000.0, 500.0, 'linear']"
16,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 200000.0, 500.0, 'linear']"
17,0.9201451905626135,0.8904761904761903,"[1000.0, 1e-05, 100.0, 0.0001, 'sigmoid']"
18,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 200000.0, 500.0, 'linear']"
19,0.9201451905626135,0.8904761904761903,"[1000.0, 1e-05, 100.0, 0.0001, 'sigmoid']"
20,0.9271627344222626,0.8619047619047618,"[1000.0, 0.8, 100.0, 0.0001, 'sigmoid']"
21,0.9549304295220808,0.8895238095238096,"[1.0, 1e-05, 200000.0, 500.0, 'linear']"
22,0.7083484573502722,0.7085714285714286,"[1000.0, 1e-05, 100.0, 500.0, 'sigmoid']"
23,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 200000.0, 0.0001, 'linear']"
24,0.7083484573502722,0.7085714285714286,"[1.0, 1e-05, 200000.0, 0.0001, 'sigmoid']"
25,1.0,0.9180952380952382,"[1000.0, 0.8, 100.0, 500.0, 'linear']"
26,0.9271627344222626,0.8619047619047618,"[1000.0, 0.8, 100.0, 0.0001, 'sigmoid']"
27,0.9549304295220808,0.8895238095238096,"[1.0, 1e-05, 200000.0, 500.0, 'linear']"
28,0.9480338777979431,0.8761904761904763,"[1.0, 0.8, 100.0, 0.0001, 'linear']"
29,0.7083484573502722,0.7085714285714286,"[1000.0, 1e-05, 200000.0, 500.0, 'sigmoid']"
30,0.9549304295220808,0.8895238095238096,"[1.0, 1e-05, 200000.0, 0.0001, 'linear']"
31,0.7083484573502722,0.7085714285714286,"[1000.0, 0.8, 100.0, 500.0, 'sigmoid']"
32,0.7083484573502722,0.7085714285714286,"[1000.0, 1e-05, 200000.0, 500.0, 'sigmoid']"
