,train,test,parameters
0,1.0,0.5100207039337474,"[607.364434093887, 0.3291808932868386, 76629.93739401604, 58.13876504663329, 'rbf']"
1,1.0,0.5100207039337474,"[510.8613751941499, 0.4819193524134143, 64889.92603997515, 151.87377210296367, 'rbf']"
2,0.5100281618023554,0.5100207039337474,"[1.0, 1e-05, 200000.0, 500.0, 'sigmoid']"
3,0.7965745007680491,0.7850517598343686,"[1000.0, 0.8, 100.0, 0.0001, 'linear']"
4,0.6546697388632873,0.6475776397515528,"[1.0, 0.8, 100.0, 0.0001, 'sigmoid']"
5,0.9455555555555556,0.8481573498964803,"[1000.0, 1e-05, 200000.0, 500.0, 'linear']"
6,0.7965745007680491,0.7850517598343686,"[1000.0, 0.8, 100.0, 0.0001, 'linear']"
7,0.5100281618023554,0.5100207039337474,"[1.0, 1e-05, 200000.0, 500.0, 'sigmoid']"
8,0.7965745007680491,0.7850517598343686,"[1000.0, 1e-05, 100.0, 500.0, 'linear']"
9,0.5100281618023554,0.5100207039337474,"[1.0, 0.8, 200000.0, 0.0001, 'sigmoid']"
10,0.5100281618023554,0.5100207039337474,"[1.0, 0.8, 100.0, 500.0, 'sigmoid']"
11,0.9455555555555556,0.8481573498964803,"[1000.0, 1e-05, 200000.0, 0.0001, 'linear']"
12,0.8517229902713772,0.7907246376811594,"[1.0, 0.8, 200000.0, 0.0001, 'linear']"
13,0.5100281618023554,0.5100207039337474,"[1000.0, 1e-05, 100.0, 500.0, 'sigmoid']"
14,0.8517229902713772,0.7907246376811594,"[1.0, 0.8, 100.0, 0.0001, 'linear']"
15,0.5100281618023554,0.5100207039337474,"[1000.0, 1e-05, 200000.0, 500.0, 'sigmoid']"
16,0.5100281618023554,0.5100207039337474,"[1000.0, 0.8, 100.0, 500.0, 'sigmoid']"
17,0.8531566820276497,0.7965217391304348,"[1.0, 1e-05, 200000.0, 0.0001, 'linear']"
18,0.5100281618023554,0.5100207039337474,"[1000.0, 1e-05, 200000.0, 500.0, 'sigmoid']"
19,0.8517229902713772,0.7907246376811594,"[1.0, 0.8, 100.0, 0.0001, 'linear']"
20,0.6546697388632873,0.6475776397515528,"[1.0, 0.8, 100.0, 0.0001, 'sigmoid']"
21,0.9455555555555556,0.8481573498964803,"[1000.0, 1e-05, 200000.0, 500.0, 'linear']"
22,0.6546697388632873,0.6475776397515528,"[1.0, 0.8, 100.0, 0.0001, 'sigmoid']"
23,0.9455555555555556,0.8481573498964803,"[1000.0, 1e-05, 200000.0, 500.0, 'linear']"
24,0.6546697388632873,0.6475776397515528,"[1.0, 0.8, 100.0, 0.0001, 'sigmoid']"
25,0.9455555555555556,0.8481573498964803,"[1000.0, 1e-05, 200000.0, 500.0, 'linear']"
26,0.7965745007680491,0.7850517598343686,"[1000.0, 1e-05, 100.0, 0.0001, 'linear']"
27,0.5100281618023554,0.5100207039337474,"[1.0, 0.8, 200000.0, 500.0, 'sigmoid']"
28,0.5100281618023554,0.5100207039337474,"[1000.0, 1e-05, 200000.0, 500.0, 'sigmoid']"
29,0.8517229902713772,0.7907246376811594,"[1.0, 0.8, 100.0, 0.0001, 'linear']"
30,0.9405376344086023,0.833871635610766,"[1000.0, 0.8, 200000.0, 500.0, 'linear']"
31,0.6546697388632873,0.6475776397515528,"[1.0, 1e-05, 100.0, 0.0001, 'sigmoid']"
