,train,test,parameters
0,1.0,0.8495238095238096,"[40, 236, 'distance', 'kd_tree', 'manhattan']"
1,1.0,0.8914285714285715,"[30, 30, 'distance', 'kd_tree', 'manhattan']"
2,0.9064125831820931,0.8914285714285715,"[14, 295, 'uniform', 'brute', 'manhattan']"
3,1.0,0.8923809523809524,"[21, 179, 'distance', 'brute', 'euclidean']"
4,0.8924984875983061,0.8638095238095238,"[23, 218, 'uniform', 'auto', 'manhattan']"
5,0.8960072595281308,0.8209523809523809,"[2, 201, 'uniform', 'auto', 'euclidean']"
6,1.0,0.8923809523809524,"[23, 118, 'distance', 'brute', 'euclidean']"
7,1.0,0.9057142857142857,"[8, 33, 'distance', 'brute', 'chebyshev']"
8,1.0,0.8495238095238096,"[43, 289, 'distance', 'auto', 'manhattan']"
9,1.0,0.9057142857142857,"[7, 19, 'distance', 'ball_tree', 'chebyshev']"
10,1.0,0.8638095238095239,"[34, 142, 'distance', 'kd_tree', 'manhattan']"
11,1.0,0.8638095238095239,"[7, 257, 'distance', 'ball_tree', 'manhattan']"
12,0.7083484573502722,0.7085714285714286,"[34, 217, 'uniform', 'brute', 'euclidean']"
13,0.7083484573502722,0.7085714285714286,"[36, 76, 'uniform', 'kd_tree', 'euclidean']"
14,1.0,0.8771428571428572,"[32, 104, 'distance', 'kd_tree', 'manhattan']"
15,1.0,0.8361904761904763,"[50, 214, 'distance', 'auto', 'manhattan']"
16,0.8960677555958864,0.8914285714285715,"[10, 44, 'uniform', 'kd_tree', 'euclidean']"
17,0.7083484573502722,0.7085714285714286,"[43, 11, 'uniform', 'kd_tree', 'chebyshev']"
18,0.8995160314579552,0.8771428571428572,"[18, 169, 'uniform', 'kd_tree', 'manhattan']"
19,1.0,0.8638095238095239,"[34, 124, 'distance', 'kd_tree', 'manhattan']"
20,0.8995160314579552,0.8495238095238096,"[14, 263, 'uniform', 'kd_tree', 'euclidean']"
21,0.8055051421657591,0.7933333333333333,"[32, 158, 'uniform', 'kd_tree', 'manhattan']"
22,0.8682395644283123,0.7933333333333332,"[22, 300, 'uniform', 'brute', 'euclidean']"
23,0.895946763460375,0.8914285714285715,"[24, 175, 'uniform', 'brute', 'manhattan']"
24,0.7950998185117968,0.8085714285714285,"[30, 103, 'uniform', 'auto', 'euclidean']"
25,1.0,0.8495238095238096,"[41, 1, 'distance', 'kd_tree', 'manhattan']"
26,1.0,0.8914285714285715,"[22, 87, 'distance', 'kd_tree', 'manhattan']"
27,0.8682395644283123,0.7933333333333332,"[22, 118, 'uniform', 'kd_tree', 'euclidean']"
28,1.0,0.78,"[1, 233, 'distance', 'auto', 'euclidean']"
29,1.0,0.8638095238095239,"[33, 217, 'distance', 'brute', 'euclidean']"
30,1.0,0.8495238095238096,"[41, 168, 'distance', 'brute', 'manhattan']"
31,0.8889897156684814,0.8780952380952382,"[25, 238, 'uniform', 'ball_tree', 'manhattan']"
32,1.0,0.779047619047619,"[50, 285, 'distance', 'kd_tree', 'chebyshev']"
33,1.0,0.8638095238095239,"[35, 146, 'distance', 'ball_tree', 'manhattan']"
34,0.9029643073200242,0.8495238095238096,"[21, 41, 'uniform', 'brute', 'manhattan']"
35,0.8820931639443435,0.8352380952380953,"[21, 49, 'uniform', 'ball_tree', 'euclidean']"
36,1.0,0.9057142857142857,"[20, 138, 'distance', 'auto', 'manhattan']"
37,0.7083484573502722,0.7085714285714286,"[40, 95, 'uniform', 'ball_tree', 'euclidean']"
38,0.9029038112522686,0.8638095238095238,"[19, 10, 'uniform', 'brute', 'manhattan']"
39,0.8368421052631578,0.8628571428571428,"[30, 239, 'uniform', 'brute', 'manhattan']"
40,1.0,0.8923809523809524,"[20, 3, 'distance', 'brute', 'chebyshev']"
41,0.7083484573502722,0.7085714285714286,"[35, 167, 'uniform', 'kd_tree', 'manhattan']"
42,0.868118572292801,0.8628571428571428,"[28, 76, 'uniform', 'kd_tree', 'manhattan']"
43,1.0,0.9057142857142857,"[19, 126, 'distance', 'kd_tree', 'euclidean']"
44,0.8994555353901996,0.836190476190476,"[17, 56, 'uniform', 'kd_tree', 'euclidean']"
45,1.0,0.8361904761904763,"[50, 1, 'distance', 'ball_tree', 'manhattan']"
46,0.895946763460375,0.8638095238095238,"[22, 88, 'uniform', 'kd_tree', 'manhattan']"
47,1.0,0.9057142857142857,"[16, 81, 'distance', 'auto', 'manhattan']"
48,1.0,0.78,"[1, 212, 'uniform', 'kd_tree', 'euclidean']"
49,0.9099213551119177,0.9057142857142857,"[7, 174, 'uniform', 'kd_tree', 'euclidean']"
50,0.8055051421657591,0.78,"[33, 119, 'uniform', 'ball_tree', 'manhattan']"
51,0.8889897156684814,0.8780952380952382,"[25, 206, 'uniform', 'ball_tree', 'manhattan']"
52,1.0,0.8780952380952382,"[29, 195, 'distance', 'ball_tree', 'chebyshev']"
53,1.0,0.8914285714285715,"[12, 97, 'distance', 'brute', 'manhattan']"
54,0.8821536600120993,0.8219047619047618,"[20, 111, 'uniform', 'kd_tree', 'euclidean']"
55,1.0,0.8771428571428572,"[32, 53, 'distance', 'kd_tree', 'manhattan']"
56,1.0,0.8914285714285715,"[26, 130, 'distance', 'brute', 'manhattan']"
57,1.0,0.8914285714285715,"[21, 16, 'distance', 'brute', 'manhattan']"
58,0.8889897156684814,0.8780952380952382,"[25, 33, 'uniform', 'kd_tree', 'manhattan']"
59,0.9063520871143375,0.8638095238095238,"[17, 300, 'uniform', 'brute', 'manhattan']"
60,1.0,0.8780952380952382,"[28, 1, 'distance', 'brute', 'chebyshev']"
61,1.0,0.8914285714285715,"[22, 158, 'distance', 'kd_tree', 'manhattan']"
62,1.0,0.8923809523809524,"[16, 27, 'distance', 'brute', 'chebyshev']"
63,1.0,0.9057142857142857,"[15, 81, 'distance', 'kd_tree', 'euclidean']"
64,0.9029038112522686,0.8638095238095238,"[12, 98, 'uniform', 'ball_tree', 'manhattan']"
65,0.7083484573502722,0.7085714285714286,"[50, 103, 'uniform', 'brute', 'manhattan']"
66,0.9029038112522686,0.8638095238095238,"[17, 147, 'uniform', 'auto', 'manhattan']"
67,1.0,0.9057142857142857,"[15, 89, 'distance', 'auto', 'manhattan']"
68,1.0,0.8085714285714285,"[45, 181, 'distance', 'auto', 'chebyshev']"
