,train,test,parameters
0,1.0,0.7085714285714286,"[616.2735963945311, 0.06265812163185625, 192283.7359365374, 17.004632872169378, 'rbf']"
1,0.6623714458560193,0.6695238095238094,"[62.02181935334826, 0.37103848871319034, 123629.7223099122, 116.60963910838099, 'poly']"
2,0.6805807622504536,0.5123809523809524,"[658.1530241565526, 0.593195649972733, 194995.9194739969, 231.68336129706006, 'poly']"
3,0.895946763460375,0.8485714285714285,"[260.43236666690257, 0.3374409781852339, 95884.43839911601, 474.0988394221575, 'linear']"
4,1.0,0.7085714285714286,"[21.767042169524252, 0.5790079841736141, 110488.4706217096, 297.6142034533034, 'rbf']"
5,1.0,0.7085714285714286,"[208.25769024144623, 0.5722408105385116, 158522.12103316432, 181.4491876500611, 'rbf']"
6,1.0,0.7085714285714286,"[756.3732411590983, 0.7261107993038339, 144520.8887233374, 90.1150381955668, 'rbf']"
7,0.6245614035087719,0.6,"[379.1788892510025, 0.13944387504066666, 135166.9919613898, 325.75938751301493, 'poly']"
8,0.7670901391409558,0.78,"[948.1806358775939, 0.6421009640760503, 30022.75324637959, 358.42807251857107, 'linear']"
9,0.6663641863278886,0.6838095238095238,"[772.8402456713815, 0.5806770296185675, 192982.04184667813, 410.63869104656135, 'poly']"
10,0.895946763460375,0.8485714285714285,"[822.8097693522643, 0.0304073462154971, 176226.86523453484, 85.32653808731565, 'linear']"
11,0.7083484573502722,0.7085714285714286,"[503.44804699861874, 0.4761302250444408, 83696.26613409127, 212.29743026362027, 'sigmoid']"
12,0.7083484573502722,0.7085714285714286,"[366.4983580819965, 0.7377839442283094, 11449.422846577376, 286.50008635139864, 'sigmoid']"
13,1.0,0.7085714285714286,"[188.17351914689684, 0.3299349958350022, 25676.190074228918, 47.34226086218133, 'rbf']"
14,0.7083484573502722,0.7085714285714286,"[691.1098312112482, 0.43069950000620055, 176519.7010295265, 291.2209074624942, 'sigmoid']"
15,0.7234119782214157,0.7057142857142857,"[817.1794560261862, 0.38390560120536543, 181270.45037002908, 334.36786030227125, 'poly']"
16,1.0,0.7085714285714286,"[461.50209021642854, 0.6333220055777679, 36481.80790910866, 429.6024446501945, 'rbf']"
17,1.0,0.7085714285714286,"[493.1509315745641, 0.5188506279672405, 111989.26971264869, 275.83623104880286, 'rbf']"
18,0.8786448880822746,0.8485714285714285,"[108.95535917990007, 0.6040742766530318, 113987.58089363204, 120.88835238680997, 'linear']"
19,0.6491228070175439,0.621904761904762,"[540.9634029402562, 0.5421353495617777, 59769.36242231778, 249.22178415307704, 'poly']"
20,1.0,0.7085714285714286,"[215.41991130505025, 0.31485945756344214, 19614.06218185641, 198.04196964464398, 'rbf']"
21,0.7083484573502722,0.7085714285714286,"[325.02538759286375, 0.2418551320289707, 58523.75423543228, 341.65682434879835, 'sigmoid']"
22,1.0,0.7085714285714286,"[1.0, 0.45225040445971476, 53071.131271185106, 131.87210007369652, 'rbf']"
23,1.0,0.7085714285714286,"[413.8681421680893, 0.5487360839714286, 7082.882163329386, 204.6100693851597, 'rbf']"
24,0.64670296430732,0.678095238095238,"[439.4727206190044, 0.19139379847014593, 120648.83665459536, 282.38164711350174, 'poly']"
25,0.7083484573502722,0.7085714285714286,"[123.11035783350218, 0.8, 4612.843797241573, 500.0, 'sigmoid']"
26,0.6653962492437993,0.7542857142857142,"[472.1007127964682, 0.4774688370725067, 12169.459570332514, 413.78862287097104, 'poly']"
27,1.0,0.7085714285714286,"[520.8199703911934, 0.28143931802177347, 118251.00457846727, 227.06947385011082, 'rbf']"
28,0.6737447065940714,0.641904761904762,"[1000.0, 0.7396478901580061, 132334.94091085385, 373.9929512127817, 'poly']"
29,1.0,0.7085714285714286,"[623.446151962518, 0.028631262456227855, 121772.0484972952, 120.23534905734175, 'rbf']"
30,0.6629764065335753,0.6952380952380952,"[180.99590298113674, 1e-05, 71373.83129984706, 440.2950117363245, 'poly']"
31,0.7119782214156081,0.6104761904761904,"[134.19425389661185, 0.4158666522926652, 100.0, 226.35747927584276, 'linear']"
32,0.7086509376890502,0.6914285714285715,"[470.1091479105171, 0.7615412240660507, 6908.080293032378, 234.38524380026362, 'linear']"
33,1.0,0.7085714285714286,"[293.5261906446413, 0.324699921347925, 38032.304996553445, 2.73886455805645, 'rbf']"
34,0.8924984875983061,0.8485714285714285,"[108.82193609410353, 0.10769758538282918, 81832.12839222325, 439.38807267999255, 'linear']"
35,1.0,0.7085714285714286,"[409.437405739607, 0.5641791006966481, 31045.303005699963, 305.92469914565515, 'rbf']"
36,0.5916515426497277,0.5638095238095239,"[228.20564136724528, 0.4281230885616506, 200000.0, 273.0729396890426, 'poly']"
37,0.8088929219600726,0.819047619047619,"[585.6532266441031, 0.2779749322545151, 8661.852716631714, 247.58957812142313, 'poly']"
38,0.7433756805807622,0.7057142857142857,"[362.9975789829449, 0.6913486707521472, 142087.8025607666, 276.20155386340497, 'poly']"
39,0.9029038112522686,0.8619047619047618,"[105.12598939697672, 0.41517874198828253, 124253.512354342, 0.0001, 'rbf']"
40,1.0,0.7085714285714286,"[630.1219643483414, 0.495256371759072, 120895.86577189635, 78.96079828310792, 'rbf']"
41,0.7083484573502722,0.7085714285714286,"[544.2847150548189, 0.40271113830620714, 33377.55031850726, 391.6290246915443, 'sigmoid']"
42,1.0,0.7085714285714286,"[1.0, 0.3651219715758808, 3727.7695634034253, 197.2326417294193, 'rbf']"
43,0.8924984875983061,0.8485714285714285,"[640.6577933072207, 0.49123233172303377, 92515.69766745492, 166.28889923849732, 'linear']"
44,0.7607380520266183,0.6790476190476191,"[534.9686904528177, 0.6830636246263927, 60578.61158625997, 75.52317345910498, 'poly']"
45,1.0,0.7085714285714286,"[493.0109293287492, 0.587034431303372, 200000.0, 345.87999052231726, 'rbf']"
46,0.6424077434966727,0.5685714285714286,"[84.18073715250657, 0.256816722117792, 70441.3703357413, 500.0, 'poly']"
47,1.0,0.7085714285714286,"[459.6700324628732, 0.5344974251760027, 62951.42008343712, 45.69799428791731, 'rbf']"
48,0.8021778584392013,0.7352380952380952,"[1000.0, 0.8, 49384.16111740462, 399.8408076821273, 'poly']"
49,0.8993345432546883,0.862857142857143,"[321.77116709935245, 0.10736634605704529, 42035.30313448906, 0.0001, 'rbf']"
50,1.0,0.7085714285714286,"[652.1876852373342, 0.48775447733727073, 45992.458394379675, 400.4590591080125, 'rbf']"
51,0.6424682395644283,0.7504761904761905,"[445.7929248316977, 0.5428933088085269, 90575.91839579884, 78.83230837211158, 'poly']"
52,0.8022988505747126,0.6657142857142857,"[192.65592236713658, 0.6974051166677442, 129954.34927924057, 223.3151727342942, 'poly']"
53,0.7119782214156081,0.6533333333333333,"[474.9508672104347, 0.4965029019197146, 65379.911897293045, 193.66070149745437, 'poly']"
54,0.895946763460375,0.8485714285714285,"[109.01029760861633, 1e-05, 22913.290175297738, 219.7785054969589, 'linear']"
55,1.0,0.7085714285714286,"[112.19786440624449, 0.7157519782519786, 67984.22097613325, 99.90054223412129, 'rbf']"
56,0.7610405323653963,0.6780952380952381,"[520.1221448388638, 0.6304895653843191, 100.0, 397.3093458957509, 'poly']"
57,0.8402298850574713,0.8066666666666666,"[694.7091124648216, 0.2715433737120471, 23832.905655045175, 209.97250215432183, 'poly']"
58,1.0,0.7085714285714286,"[456.7695084907564, 0.5347909961017845, 45723.318144720004, 251.88491543431834, 'rbf']"
59,0.7083484573502722,0.7085714285714286,"[189.71310334835437, 0.4122794061747813, 87774.68350387941, 68.69686588950529, 'sigmoid']"
60,0.5753176043557169,0.5866666666666667,"[650.1536422875971, 1e-05, 200000.0, 47.10233420773756, 'poly']"
61,1.0,0.7085714285714286,"[471.430275989229, 0.4321486149896395, 72669.29397803197, 371.18577067006765, 'rbf']"
62,0.7120992135511193,0.7485714285714286,"[1.0, 0.30918401124378175, 37125.69653731128, 471.4276549390814, 'poly']"
63,0.8924984875983061,0.862857142857143,"[650.4735089789524, 0.21706054513155545, 141984.06635969304, 222.10839899443675, 'linear']"
64,0.7526920750151241,0.7219047619047619,"[248.34655047475204, 0.4590532241732207, 64938.30628550034, 154.11331974010213, 'poly']"
65,0.7083484573502722,0.7085714285714286,"[174.70687413657726, 0.4077876685853322, 195013.87063567716, 0.0001, 'poly']"
66,1.0,0.7085714285714286,"[45.4495351429447, 0.4172697918771867, 96652.52331713759, 119.4329941808426, 'rbf']"
67,1.0,0.7085714285714286,"[372.389342278331, 0.420011789207801, 114025.78103555545, 312.78284036670664, 'rbf']"
68,0.7780399274047187,0.7219047619047618,"[727.2857837642334, 0.8, 57339.18296911461, 107.0339370789614, 'poly']"
69,1.0,0.7085714285714286,"[73.50184287130078, 0.4124758465513333, 52354.391435391706, 113.19511592545008, 'rbf']"
70,1.0,0.7085714285714286,"[1000.0, 0.7955353010997638, 73574.50461010794, 145.8473938683754, 'rbf']"
71,0.6669691470054446,0.5923809523809523,"[645.2937989497033, 0.1825610336436057, 121750.11865500988, 109.20658219748454, 'poly']"
72,0.7083484573502722,0.7085714285714286,"[31.90526792167796, 0.6616346026733829, 135346.7279598721, 274.8396014765517, 'sigmoid']"
73,0.7264367816091953,0.6361904761904762,"[459.408436650882, 0.3648423097027964, 80917.45200033441, 270.6990957015315, 'poly']"
74,0.6416817906836055,0.5419047619047619,"[368.4480598751432, 0.27706468104653403, 53702.540978393445, 310.6498747283094, 'poly']"
75,1.0,0.7085714285714286,"[461.1109381478398, 0.7218419526563438, 84872.9209259655, 170.73817228634627, 'rbf']"
