,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.8488453661034306,0.8509730848861283,31,216,uniform,ball_tree,euclidean,0,,,,,,,,,,,,,,,,,,
1,0.9061725550435227,0.7678260869565218,2,39,uniform,ball_tree,euclidean,1,,,,,,,,,,,,,,,,,,
2,0.899720942140297,0.8452173913043477,3,225,uniform,ball_tree,euclidean,2,,,,,,,,,,,,,,,,,,
3,1.0,0.7993788819875777,1,4,uniform,ball_tree,euclidean,3,,,,,,,,,,,,,,,,,,
4,0.8560112647209422,0.8481159420289854,23,11,uniform,ball_tree,euclidean,4,,,,,,,,,,,,,,,,,,
5,0.8495673323092678,0.8481159420289854,37,207,uniform,ball_tree,euclidean,5,,,,,,,,,,,,,,,,,,
6,0.8474244751664106,0.8481159420289854,46,241,uniform,ball_tree,euclidean,6,,,,,,,,,,,,,,,,,,
7,0.8495724526369688,0.8424016563146998,48,99,uniform,ball_tree,euclidean,7,,,,,,,,,,,,,,,,,,
8,0.8481413210445469,0.8481159420289854,45,60,uniform,ball_tree,euclidean,8,,,,,,,,,,,,,,,,,,
9,0.8509984639016898,0.8452587991718425,35,261,uniform,ball_tree,euclidean,9,,,,,,,,,,,,,,,,,,
10,0.8510010240655402,0.8481159420289854,40,300,uniform,ball_tree,euclidean,0,10(s),,,,,,,,,,,,,,,,,
11,0.8481336405529953,0.8481159420289854,33,300,uniform,ball_tree,euclidean,0,11(s),,,,,,,,,,,,,,,,,
12,0.8703379416282642,0.8537888198757763,12,210,uniform,ball_tree,euclidean,0,12(s),,,,,,,,,,,,,,,,,
13,0.8488504864311315,0.8452173913043477,39,6,uniform,ball_tree,euclidean,4,13,,,,,,,,,,,,,,,,,
14,0.8653251408090117,0.859544513457557,14,9,uniform,ball_tree,euclidean,4,14,,,,,,,,,,,,,,,,,
15,0.8502867383512545,0.8452173913043477,43,299,uniform,ball_tree,euclidean,5,15,,,,,,,,,,,,,,,,,
16,0.8474193548387097,0.8452587991718425,50,238,uniform,ball_tree,euclidean,5,16,,,,,,,,,,,,,,,,,
17,0.8474193548387097,0.8452587991718425,50,300,uniform,ball_tree,euclidean,6,17,,,,,,,,,,,,,,,,,
18,0.8474193548387097,0.8452587991718425,50,86,uniform,ball_tree,euclidean,6,18,,,,,,,,,,,,,,,,,
19,0.9061725550435227,0.7678260869565218,2,31,uniform,ball_tree,euclidean,8,19,,,,,,,,,,,,,,,,,
20,0.8552944188428061,0.8480745341614906,26,63,uniform,ball_tree,euclidean,8,20,,,,,,,,,,,,,,,,,
21,0.8796466973886329,0.8681573498964804,7,15,uniform,ball_tree,euclidean,9,21,,,,,,,,,,,,,,,,,
22,0.848853046594982,0.8452173913043477,41,133,uniform,ball_tree,euclidean,9,22,,,,,,,,,,,,,,,,,
23,0.8875320020481311,0.8337474120082817,4,27,uniform,ball_tree,euclidean,2,23,,,,,,,,,,,,,,,,,
24,1.0,0.7993788819875777,1,258,uniform,ball_tree,euclidean,2,24,,,,,,,,,,,,,,,,,
25,0.8474193548387097,0.8452587991718425,50,105,uniform,ball_tree,euclidean,7,25,,,,,,,,,,,,,,,,,
26,0.8875320020481311,0.8337474120082817,4,71,uniform,ball_tree,euclidean,7,26,,,,,,,,,,,,,,,,,
27,1.0,0.7993788819875777,1,6,uniform,ball_tree,euclidean,3,27,,,,,,,,,,,,,,,,,
28,1.0,0.7993788819875777,1,4,uniform,ball_tree,euclidean,3,28,,,,,,,,,,,,,,,,,
29,0.9061725550435227,0.7678260869565218,2,73,uniform,ball_tree,euclidean,1,29,,,,,,,,,,,,,,,,,
30,0.899720942140297,0.8452173913043477,3,30,uniform,ball_tree,euclidean,1,30,,,,,,,,,,,,,,,,,
31,0.8560087045570917,0.8509316770186335,24,11,uniform,ball_tree,euclidean,4,14,31(s),,,,,,,,,,,,,,,,
32,0.8717639528929851,0.8681573498964804,10,11,uniform,ball_tree,euclidean,4,14,32(s),,,,,,,,,,,,,,,,
33,1.0,0.7993788819875777,1,5,uniform,ball_tree,euclidean,4,14,33(s),,,,,,,,,,,,,,,,
34,0.8703379416282642,0.8537888198757763,12,300,uniform,ball_tree,euclidean,0,12(s),34,,,,,,,,,,,,,,,,
35,0.8717639528929851,0.8681573498964804,10,10,uniform,ball_tree,euclidean,0,12(s),35,,,,,,,,,,,,,,,,
36,0.8796466973886329,0.8681573498964804,7,18,uniform,ball_tree,euclidean,4,14,32(s),36(s),,,,,,,,,,,,,,,
37,0.9061725550435227,0.7678260869565218,2,10,uniform,ball_tree,euclidean,4,14,32(s),37(s),,,,,,,,,,,,,,,
38,0.8875320020481311,0.8337474120082817,4,9,uniform,ball_tree,euclidean,4,14,32(s),38(s),,,,,,,,,,,,,,,
39,0.9061725550435227,0.7678260869565218,2,19,uniform,ball_tree,euclidean,0,12(s),34,39,,,,,,,,,,,,,,,
40,0.8574423963133639,0.8452587991718425,22,204,uniform,ball_tree,euclidean,0,12(s),34,40,,,,,,,,,,,,,,,
41,0.8624628776241678,0.8538302277432711,15,13,uniform,ball_tree,euclidean,4,14,32(s),41(s),,,,,,,,,,,,,,,
42,0.8703379416282642,0.8537888198757763,12,4,uniform,ball_tree,euclidean,4,14,32(s),42(s),,,,,,,,,,,,,,,
43,0.8753533026113672,0.8738716356107661,8,7,uniform,ball_tree,euclidean,4,14,32(s),43(s),,,,,,,,,,,,,,,
44,0.8509984639016898,0.8452587991718425,35,76,uniform,ball_tree,euclidean,0,12(s),34,40,44,,,,,,,,,,,,,,
45,0.8574423963133639,0.8452587991718425,22,289,uniform,ball_tree,euclidean,0,12(s),34,40,45,,,,,,,,,,,,,,
46,0.8631822836661547,0.8566459627329192,13,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),46(s),,,,,,,,,,,,,,
47,0.8796466973886329,0.8681573498964804,7,12,uniform,ball_tree,euclidean,4,14,32(s),43(s),47(s),,,,,,,,,,,,,,
48,0.897567844342038,0.8595859213250516,5,7,uniform,ball_tree,euclidean,4,14,32(s),43(s),48(s),,,,,,,,,,,,,,
49,1.0,0.7993788819875777,1,6,uniform,ball_tree,euclidean,4,14,32(s),49,,,,,,,,,,,,,,,
50,0.897567844342038,0.8595859213250516,5,14,uniform,ball_tree,euclidean,4,14,32(s),50,,,,,,,,,,,,,,,
51,0.9061725550435227,0.7678260869565218,2,43,uniform,ball_tree,euclidean,0,12(s),34,40,51,,,,,,,,,,,,,,
52,0.8510010240655402,0.8481159420289854,40,300,uniform,ball_tree,euclidean,0,12(s),34,40,52,,,,,,,,,,,,,,
53,0.8552944188428061,0.8480745341614906,26,102,uniform,ball_tree,euclidean,0,12(s),34,40,44,53,,,,,,,,,,,,,
54,1.0,0.7993788819875777,1,93,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,,,,,,,,,,,,,
55,0.8753533026113672,0.8738716356107661,8,12,uniform,ball_tree,euclidean,4,14,32(s),43(s),55(s),,,,,,,,,,,,,,
56,0.8667613927291347,0.859544513457557,11,4,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),,,,,,,,,,,,,,
57,0.8667613927291347,0.859544513457557,11,4,uniform,ball_tree,euclidean,4,14,32(s),43(s),57(s),,,,,,,,,,,,,,
58,0.8703379416282642,0.8537888198757763,12,6,uniform,ball_tree,euclidean,4,14,32(s),43(s),47(s),58,,,,,,,,,,,,,
59,0.8667613927291347,0.859544513457557,11,21,uniform,ball_tree,euclidean,4,14,32(s),43(s),47(s),59,,,,,,,,,,,,,
60,0.8753533026113672,0.8738716356107661,8,10,uniform,ball_tree,euclidean,4,14,32(s),43(s),48(s),60,,,,,,,,,,,,,
