,train,test,parameters
0,1.0,0.515776397515528,"[481.8991770825056, 0.012803191658003851, 70690.44229303216, 157.02709387772606, 'rbf']"
1,0.6905478750640042,0.6874534161490683,"[33.38899701965988, 0.6250760877864673, 82467.21517865524, 23.827090171645114, 'poly']"
2,1.0,0.515776397515528,"[736.770700277534, 0.4945525976409762, 62080.05173415434, 271.9728681094605, 'rbf']"
3,0.5707398873527906,0.5622774327122153,"[356.2524484875236, 0.11221874325334247, 175594.8583983341, 62.58368738964028, 'linear']"
4,1.0,0.515776397515528,"[917.927880495869, 0.01945896411560072, 38779.95146245421, 112.76132491534904, 'rbf']"
5,1.0,0.515776397515528,"[450.5204553665235, 0.7396439983678753, 135429.04484179322, 413.0816549565238, 'rbf']"
6,0.4535074244751664,0.4325051759834368,"[439.97043676994923, 0.2777789411669823, 143196.87899577848, 179.70117828672534, 'poly']"
7,0.5100281618023553,0.5100207039337474,"[352.52363050819037, 0.3763493615158184, 184709.38066724953, 37.47483115549859, 'sigmoid']"
8,0.5365898617511522,0.5185093167701862,"[790.5105242299626, 0.027128390400144597, 74083.77477265427, 197.58611793366052, 'poly']"
9,1.0,0.515776397515528,"[261.9631730819482, 0.2675095022765956, 9704.38945554293, 169.89223058286368, 'rbf']"
10,0.5100281618023553,0.5100207039337474,"[943.2892422148467, 0.5133367757681827, 121068.48026857397, 330.81861221050485, 'sigmoid']"
11,1.0,0.515776397515528,"[899.4607484919717, 0.05108484510780532, 43010.67236452004, 21.848320804809195, 'rbf']"
12,1.0,0.515776397515528,"[442.85728013821836, 0.5411116430429175, 194083.9149265323, 451.3378352742511, 'rbf']"
13,0.4604966717869944,0.4587991718426501,"[537.3335043861663, 0.26282283629867653, 75760.86770958213, 237.74349513540096, 'poly']"
14,0.4815437788018433,0.5179296066252588,"[554.6854238916488, 0.2249670840204176, 170030.34157021815, 110.1233573226745, 'linear']"
15,1.0,0.515776397515528,"[725.4028419624087, 0.54019056393547, 27456.32620146976, 162.54109174320376, 'rbf']"
16,0.5707245263696877,0.5510144927536232,"[435.70789213049056, 0.21242244099327973, 132918.66252862365, 404.06164041037624, 'linear']"
17,0.5100281618023553,0.5100207039337474,"[818.2840866071218, 0.7724357097004035, 14166.116328204987, 340.8705968574176, 'sigmoid']"
18,0.5100281618023553,0.5100207039337474,"[585.7972885716187, 0.2922689652488778, 98783.181289583, 3.0770056755350237, 'sigmoid']"
19,0.5100281618023553,0.5100207039337474,"[933.2040649343819, 0.7809681502149043, 42228.74876597626, 323.5146532364934, 'sigmoid']"
20,0.6481950844854071,0.6506418219461698,"[288.1080908481048, 0.20928032802133306, 61597.52661584805, 396.3097488289286, 'poly']"
21,1.0,0.515776397515528,"[655.4744994402608, 0.25456975264089304, 91599.68994181929, 314.705939804259, 'rbf']"
22,0.6247721454173067,0.632712215320911,"[539.0378979630098, 0.5664921771903696, 151074.18190794016, 269.92885519164975, 'poly']"
23,0.8703456221198156,0.5129192546583851,"[658.3002419492659, 0.8, 100.0, 207.06675189998296, 'rbf']"
24,0.614710701484895,0.6070807453416149,"[538.7290854644283, 0.7827857926014329, 121071.16281340884, 357.86081027192614, 'poly']"
25,1.0,0.515776397515528,"[327.03401761667567, 0.5567842268221832, 42898.8140848096, 500.0, 'rbf']"
26,0.4742754736303123,0.4583436853002071,"[496.5654374441795, 0.4854036042429197, 130871.3792301395, 182.50354885465882, 'poly']"
27,0.5100281618023553,0.5100207039337474,"[756.8495142082628, 0.573323171485356, 13131.017364027675, 330.21196429521746, 'sigmoid']"
28,1.0,0.515776397515528,"[67.19794270249871, 0.2412585072594802, 123919.26818540797, 307.95407564476426, 'rbf']"
29,1.0,0.515776397515528,"[641.1645621673872, 0.5970240471596747, 196051.9764422785, 406.40909348812096, 'rbf']"
30,1.0,0.515776397515528,"[518.6274520020883, 0.371134416681285, 120156.69083139209, 141.72753428339198, 'rbf']"
31,1.0,0.515776397515528,"[1.0, 0.47111835019417375, 71188.8307321673, 347.89068591387723, 'rbf']"
32,1.0,0.515776397515528,"[356.44271257959616, 0.5667085283550961, 180446.13122630017, 12.70243855377375, 'rbf']"
33,1.0,0.515776397515528,"[466.54460665694666, 0.17850230294082062, 87977.14196787078, 390.0289859851314, 'rbf']"
34,1.0,0.515776397515528,"[502.92805669482897, 1e-05, 6039.130716711223, 199.94709777786488, 'rbf']"
35,0.5902150537634409,0.6360662525879917,"[1000.0, 0.2403039334936361, 136622.74364617563, 304.0442956279989, 'poly']"
36,1.0,0.515776397515528,"[344.8655985892863, 0.44522270277312653, 200000.0, 344.903998669906, 'rbf']"
37,0.8137429595494112,0.8109730848861284,"[429.92696812189166, 0.3491937366292645, 157949.53610340002, 0.0001, 'linear']"
38,0.5744623655913978,0.5787991718426501,"[376.5825520144938, 0.25913827156724134, 74684.2327719092, 204.5961200784741, 'poly']"
39,0.582173579109063,0.596687370600414,"[420.30936515448985, 0.6397510555886337, 162157.99700607656, 405.4122105115382, 'poly']"
40,0.5572529441884281,0.5274120082815734,"[251.7084132969791, 0.4564302410296535, 189758.21327937013, 499.75493504487685, 'poly']"
41,1.0,0.515776397515528,"[638.6905145391906, 0.25087444231247363, 48299.700462533896, 304.4824441111534, 'rbf']"
42,1.0,0.515776397515528,"[296.756919793942, 0.2809820934303687, 147651.8991462065, 359.90332362617676, 'rbf']"
43,0.5100281618023553,0.5100207039337474,"[772.9869454483805, 0.07462958072098876, 75179.85650933885, 196.37255968572606, 'sigmoid']"
44,1.0,0.515776397515528,"[233.67484066729256, 0.8, 123163.64482165455, 500.0, 'rbf']"
45,1.0,0.515776397515528,"[391.67625869322603, 0.3601408846603737, 188838.70338867983, 186.47397492720364, 'rbf']"
46,1.0,0.515776397515528,"[412.10639789513783, 0.3875373599099683, 29278.27765771003, 301.61762202807, 'rbf']"
47,0.5708781362007168,0.5645134575569358,"[1.0, 0.32723835402686985, 1401.4884431338817, 41.636428854701045, 'poly']"
48,0.5350179211469535,0.5045962732919255,"[649.7490709606816, 0.07129848759293873, 51040.44432804698, 230.95538850771229, 'poly']"
49,1.0,0.515776397515528,"[678.6107514890372, 0.25341935323785614, 110030.74395449582, 243.00595932209927, 'rbf']"
50,1.0,0.515776397515528,"[158.55988260141595, 0.1969791753641912, 44464.97237875392, 184.73206785612854, 'rbf']"
51,0.5723348694316436,0.5529606625258799,"[517.1242332140187, 0.24979095431572323, 100.0, 0.0001, 'poly']"
52,0.6009267793138762,0.576231884057971,"[503.5023194042766, 0.29153625114102355, 84903.2040518837, 15.423857701790464, 'poly']"
53,1.0,0.515776397515528,"[362.62258361781574, 0.2242574557063336, 155225.93423850942, 211.02942427144714, 'rbf']"
54,0.5687301587301588,0.570144927536232,"[493.88844495791983, 0.2108298977015563, 129323.46992251626, 269.97878154069406, 'linear']"
55,0.6209882232462878,0.6219461697722568,"[1000.0, 0.05867703528185629, 199438.49791934856, 384.80968768710903, 'poly']"
56,0.5667383512544802,0.575527950310559,"[474.58365630810073, 0.15131734200070435, 97496.24325108818, 157.4476517149961, 'poly']"
57,0.5747593445980543,0.5662939958592131,"[151.23657156952288, 1e-05, 200000.0, 32.54489143696928, 'linear']"
58,0.7371172555043523,0.7621118012422359,"[284.85155978571055, 0.2517931864966921, 131191.02626714585, 323.20156423112627, 'linear']"
59,0.6404249871991807,0.6473706004140787,"[60.25690665309796, 0.26116467633568335, 173161.82812696608, 452.4117581217762, 'poly']"
60,0.511415770609319,0.5101035196687371,"[779.2580342433841, 0.3922820610759045, 100.0, 314.6053157130966, 'poly']"
61,0.5213799283154122,0.5474948240165631,"[442.0427177717421, 0.7242831008294905, 96349.38109192811, 143.53338453649886, 'poly']"
62,0.5459088581669227,0.5356107660455487,"[526.2243152113157, 0.43976049341743856, 63374.68460929003, 302.4224937910321, 'poly']"
63,0.5358704557091654,0.5242236024844721,"[551.4721322074997, 1e-05, 163154.67631170672, 205.73182877210647, 'poly']"
64,0.66436763952893,0.6518840579710145,"[780.3597072257343, 0.3678327690982013, 69274.43063951773, 500.0, 'linear']"
65,0.6216564260112647,0.619296066252588,"[749.9692153768578, 0.8, 132589.6787443068, 283.0773434246662, 'poly']"
66,0.5100281618023553,0.5100207039337474,"[633.0590838845669, 0.2977663485211067, 23716.048630833193, 172.63921681755656, 'sigmoid']"
67,0.8860931899641578,0.8854658385093167,"[1.0, 0.23298118006067708, 200000.0, 51.19140414727542, 'linear']"
68,0.7026907322068612,0.7334161490683229,"[1000.0, 0.01888886481106509, 552.7841311858529, 93.76268167558332, 'linear']"
69,1.0,0.515776397515528,"[611.6534840368676, 0.20042687063364803, 4594.951532044397, 245.6452577703905, 'rbf']"
70,0.5100281618023553,0.5100207039337474,"[567.1601448219401, 0.36056688500332806, 45452.73549442533, 156.32697278078547, 'sigmoid']"
71,0.6972708653353814,0.7094409937888199,"[965.8611095110675, 0.24842928491259558, 92485.42224810236, 0.0001, 'linear']"
72,0.4160215053763441,0.3816977225672878,"[782.4839865447962, 0.19988710718252709, 49326.57180122729, 164.7825754145172, 'poly']"
73,0.5516359447004608,0.5670807453416149,"[741.1315259866657, 0.4553353321908947, 93339.43560464747, 378.83147527576836, 'poly']"
74,0.610294418842806,0.6131262939958593,"[709.5530894901796, 0.5386259218205353, 140376.79636542808, 370.28825936569257, 'poly']"
75,0.5737327188940091,0.5902691511387163,"[716.9694779411848, 0.24881295340267987, 115584.20223878005, 483.26063396120946, 'poly']"
76,0.7149027137736815,0.7305175983436853,"[732.0884486030606, 0.1909479270250842, 320.4447260492686, 89.01459602072359, 'linear']"
77,0.6954761904761904,0.6851345755693582,"[651.0435059538088, 0.7967859640344382, 31894.40146011124, 158.40671792789573, 'poly']"
78,0.6145289298515105,0.6104761904761904,"[648.7081593449575, 0.3282563161159571, 111525.33542077849, 404.10176346358173, 'poly']"
79,1.0,0.515776397515528,"[249.20525040445997, 0.19410292299188386, 80581.83980543476, 396.7350441414255, 'rbf']"
80,0.5818586789554532,0.6038095238095238,"[288.5888113946065, 0.14585594546971561, 103842.09971795957, 0.0001, 'poly']"
81,0.6468253968253969,0.6674948240165632,"[42.8493064574183, 0.761455405853297, 170262.2289952223, 87.08868288605672, 'poly']"
82,0.4184690220174091,0.4465424430641821,"[433.8952058501942, 0.278003898523709, 26035.58553194684, 278.32708023416404, 'poly']"
83,0.5427905785970302,0.5394202898550724,"[540.146569921952, 0.1455564172253209, 138893.3395030913, 171.64000822104924, 'poly']"
84,0.5640040962621609,0.5693167701863354,"[359.1414047511914, 1e-05, 22206.865098057297, 469.23284282948964, 'linear']"
85,0.5264234511008705,0.5016977225672878,"[1000.0, 0.8, 67259.01314451761, 213.95733038861465, 'poly']"
86,0.5100281618023553,0.5100207039337474,"[1.0, 0.3281735489196881, 123208.85489998996, 120.6946679471833, 'sigmoid']"
87,0.5337301587301588,0.5156107660455486,"[251.91236063961313, 0.2104662387579978, 187863.79395521613, 89.50518411261567, 'poly']"
88,0.6233461341525859,0.6127536231884058,"[131.6040395153036, 0.23334591439962016, 98492.45483696146, 42.20276659052986, 'poly']"
89,0.5100281618023553,0.5100207039337474,"[306.8476707871734, 0.24500688025601014, 29870.881865901792, 8.181229843999734, 'sigmoid']"
90,0.5100281618023553,0.5100207039337474,"[489.0932473060117, 0.4029922759837879, 200000.0, 26.461157240892966, 'sigmoid']"
91,0.5393241167434716,0.5303105590062112,"[816.1259948834474, 0.2553373509917495, 106717.67081698125, 78.82312988963642, 'poly']"
92,1.0,0.515776397515528,"[147.0894338310854, 0.27188468310800595, 120020.97311998294, 236.1492031419085, 'rbf']"
93,0.5826292882744496,0.5865424430641821,"[245.1876844437764, 0.34598861915429846, 108201.77685648078, 500.0, 'poly']"
94,0.6446850998463901,0.6360248447204968,"[405.4454056347202, 0.38068423947530394, 82142.63120641028, 220.52444488281066, 'poly']"
95,1.0,0.515776397515528,"[599.8756893478331, 0.3435052209043227, 104242.4088674205, 294.0897040493683, 'rbf']"
96,0.4792549923195084,0.5040993788819876,"[908.3878765119163, 0.2472941845608196, 100.0, 40.263691663270656, 'poly']"
97,1.0,0.515776397515528,"[889.0058721480467, 0.49565323434793995, 86994.2538620975, 170.7453514080597, 'rbf']"
98,0.5658730158730159,0.5587991718426502,"[201.3559874909318, 0.2734527598782038, 117516.41886253475, 112.97089537770864, 'poly']"
99,0.7119278033794163,0.7195031055900621,"[264.45990392116136, 0.29600496545810173, 157762.17934454523, 45.91183297560836, 'poly']"
100,0.6812263184843829,0.6675362318840581,"[170.18655680759105, 1e-05, 168156.91794094042, 0.11869623079489688, 'poly']"
101,1.0,0.515776397515528,"[112.91206418578199, 0.8, 192839.13565321514, 151.15008405786912, 'rbf']"
102,0.4269508448540707,0.4326708074534162,"[365.4282741570003, 0.51388184344903, 14351.134120188794, 278.49122862648846, 'poly']"
103,0.5958166922683052,0.5795031055900621,"[235.16938159886945, 0.516432353489394, 61751.440180804704, 173.48966838710385, 'poly']"
104,0.5394521249359959,0.5385093167701863,"[571.5290942983833, 0.7101769036000479, 90295.71891637072, 170.56476721351686, 'poly']"
105,0.8703456221198156,0.5129192546583851,"[942.2218629097381, 0.41032917708300654, 100.0, 206.7735707705347, 'rbf']"
106,0.4815232974910394,0.5122567287784678,"[389.97169820133445, 0.540355863990667, 101623.62718707538, 228.96508696326313, 'linear']"
107,0.7221377368151561,0.7530020703933747,"[508.13081989241215, 0.3681638713887029, 134055.40802117466, 177.47957680247217, 'linear']"
108,0.5808602150537634,0.5932505175983437,"[131.7040142366249, 0.21815393168745534, 151521.92045644956, 180.24637142628956, 'poly']"
109,0.6289452124935996,0.6503933747412007,"[250.3740491484172, 0.4361281030975336, 6624.977038975372, 209.9050916002955, 'linear']"
110,0.5802969790066564,0.5442650103519668,"[562.9925107293344, 0.6242472395068457, 145033.0561215067, 172.5097231546761, 'poly']"
111,1.0,0.515776397515528,"[948.6707867839148, 0.4117150170704182, 26114.6643130289, 173.46250429920667, 'rbf']"
112,1.0,0.515776397515528,"[1.0, 0.4545269845439979, 145103.07221607483, 255.37134766732686, 'rbf']"
113,1.0,0.515776397515528,"[38.54234648596293, 0.24372765622681572, 166486.16410726405, 500.0, 'rbf']"
114,1.0,0.515776397515528,"[278.15624001901557, 0.24049810301345417, 43491.768027894424, 104.12579605122417, 'rbf']"
115,0.5100281618023553,0.5100207039337474,"[393.76981299978246, 0.4308687765195235, 200000.0, 263.3710319334431, 'sigmoid']"
116,1.0,0.515776397515528,"[940.8715989606084, 0.35018732666744096, 73200.1254010855, 193.15166815424809, 'rbf']"
117,0.5100281618023553,0.5100207039337474,"[1000.0, 0.0732086262657608, 3084.0262397076835, 130.35674506678993, 'sigmoid']"
118,0.5154915514592935,0.5424844720496894,"[142.36016331378949, 0.32215954422900794, 48347.40082343653, 197.9012358088489, 'linear']"
119,0.7407731694828469,0.759047619047619,"[392.4623719058945, 0.5129608344748707, 181488.97193765262, 0.0001, 'linear']"
120,1.0,0.515776397515528,"[170.62595105270475, 0.12407368211648412, 141996.62990108176, 66.2190855434109, 'rbf']"
121,0.5559293394777265,0.5127950310559005,"[181.55081201529978, 1e-05, 124779.94202312978, 199.34928254665346, 'poly']"
122,0.5959856630824373,0.5844306418219463,"[168.6182023807482, 0.3222869140799344, 129273.36887677705, 27.940991375709626, 'poly']"
123,1.0,0.515776397515528,"[1.0, 0.8, 73286.22405448853, 114.1233722414181, 'rbf']"
124,1.0,0.515776397515528,"[409.4627152336478, 0.3940254417740588, 169596.29762332916, 24.28896569567497, 'rbf']"
125,1.0,0.515776397515528,"[529.049715436646, 0.08655216928922166, 118199.7604372204, 261.4621297590731, 'rbf']"
126,0.4459677419354839,0.41954451345755694,"[375.5439630144723, 0.43806029914860284, 96680.1883982806, 155.17706150832674, 'linear']"
127,0.5908986175115206,0.5903933747412008,"[693.6703712634333, 0.5104650883181019, 126923.84266335581, 291.96527750560887, 'poly']"
128,0.5222657450076804,0.535527950310559,"[1000.0, 0.1799318226456435, 100.0, 361.7791025881272, 'poly']"
129,0.6332258064516129,0.6617805383022775,"[116.92272994342687, 0.2906364437466493, 91643.67741905995, 500.0, 'linear']"
130,0.4435432667690732,0.4579296066252588,"[199.74594799516976, 0.34313926613438184, 79264.04660263374, 413.54331010891644, 'linear']"
131,0.17049155145929337,0.17486542443064185,"[691.0730069984472, 0.5184701835582303, 149214.8453786672, 0.0001, 'sigmoid']"
132,0.5100281618023553,0.5100207039337474,"[200.3585677270433, 0.18175919214522554, 92782.88709786152, 73.08698150062405, 'sigmoid']"
133,1.0,0.515776397515528,"[281.3010703013165, 0.5036733766208011, 112162.59814285836, 393.02315813958774, 'rbf']"
134,1.0,0.515776397515528,"[359.92302521176083, 0.4542092602720563, 21028.944549114844, 246.39571052290927, 'rbf']"
135,1.0,0.515776397515528,"[537.5027235518761, 0.19268343794528148, 153104.6882837152, 84.36865921067228, 'rbf']"
136,0.5100281618023553,0.5100207039337474,"[422.3460796457018, 0.3628837750490512, 200000.0, 358.5587924495381, 'sigmoid']"
137,0.49201228878648234,0.43602484472049685,"[556.7700130166775, 0.1644127178991151, 193473.41261930641, 141.45473929512193, 'poly']"
138,1.0,0.515776397515528,"[288.40577573818825, 0.33106975422702994, 69013.5871367161, 389.68817676138707, 'rbf']"
139,0.6376907322068612,0.6440993788819875,"[326.1213564064794, 0.3206792030260978, 121906.94633181486, 38.47082947889896, 'poly']"
140,1.0,0.515776397515528,"[405.2180881216645, 0.2150238655635425, 81765.82523996675, 132.39423738627508, 'rbf']"
141,1.0,0.515776397515528,"[542.3890001189174, 0.6632568758221733, 76046.24111086497, 114.95722792390164, 'rbf']"
142,0.5100281618023553,0.5100207039337474,"[279.17433902386944, 0.17449158367299114, 163295.3377833376, 34.02591703190044, 'sigmoid']"
143,0.5100281618023553,0.5100207039337474,"[581.460868653539, 1e-05, 106152.87947980325, 197.5991578952756, 'sigmoid']"
144,0.6346646185355863,0.6131262939958593,"[713.2634672704086, 0.12930606114729093, 50804.012123110864, 500.0, 'poly']"
145,1.0,0.515776397515528,"[1.0, 0.12518703797556482, 198271.18416445248, 308.99057080653967, 'rbf']"
146,1.0,0.515776397515528,"[861.9747328917282, 0.3200146811724987, 134850.2816602428, 175.3134915054315, 'rbf']"
147,0.17049155145929337,0.17486542443064185,"[903.6455962335951, 0.2391171132437895, 122385.38986830664, 0.0001, 'sigmoid']"
148,0.8703456221198156,0.5129192546583851,"[1000.0, 0.2056268343932966, 100.0, 245.74108056635853, 'rbf']"
149,1.0,0.515776397515528,"[357.577158134716, 0.20809155935356102, 96047.8733961595, 301.66302087823914, 'rbf']"
150,1.0,0.515776397515528,"[554.6436791745745, 0.355125613336242, 104342.71942227603, 397.66605485372213, 'rbf']"
151,0.47682795698924724,0.4622360248447205,"[262.03299455569186, 0.11729366361925149, 93925.68731932751, 74.52940208407145, 'linear']"
152,0.5100281618023553,0.5100207039337474,"[705.5224799918618, 0.19249126781581477, 87954.11591369157, 277.33057449359114, 'sigmoid']"
153,1.0,0.515776397515528,"[694.9657280935414, 0.23490769680364973, 89301.13130718362, 114.28972363347789, 'rbf']"
154,1.0,0.515776397515528,"[431.82512543126234, 0.33689114548687227, 123858.23035742831, 230.28600122440304, 'rbf']"
155,0.5100281618023553,0.5100207039337474,"[738.4069186489648, 0.16001995032191446, 106467.40871234363, 73.30140898245, 'sigmoid']"
156,1.0,0.515776397515528,"[118.14489145784697, 0.3020517250771187, 104624.98603868965, 252.34649249867425, 'rbf']"
157,1.0,0.515776397515528,"[818.052991192081, 0.8, 41634.40024777678, 184.73769977088475, 'rbf']"
158,0.6818484383000512,0.6937474120082816,"[752.1084616282186, 0.23587013207700364, 200000.0, 36.26239908198239, 'poly']"
159,1.0,0.515776397515528,"[434.34286486885094, 0.2951796731111773, 48181.66726440384, 157.96603601144835, 'rbf']"
160,0.6280593958013313,0.5965631469979296,"[368.4285453344486, 0.29878253170365365, 150708.7160734123, 142.085859292123, 'poly']"
161,1.0,0.515776397515528,"[833.0711617104132, 0.8, 102909.03629087139, 114.61540451838398, 'rbf']"
162,0.5100281618023553,0.5100207039337474,"[422.62872747242693, 0.30419959455782436, 140396.27246546806, 125.1023704361868, 'sigmoid']"
163,0.5106093189964158,0.4932919254658385,"[839.2300550736737, 0.23492279823333828, 100747.59398740767, 140.6571138817964, 'poly']"
164,0.566584741423451,0.5587577639751553,"[844.7906737249383, 0.11841444514061727, 99921.09166493303, 500.0, 'poly']"
165,1.0,0.515776397515528,"[423.29116748607464, 0.2146212829779053, 113922.5757370892, 174.6326309686037, 'rbf']"
166,0.5100281618023553,0.5100207039337474,"[315.31488889513787, 0.3096251379994927, 125030.25290924583, 194.16539342133794, 'sigmoid']"
167,1.0,0.515776397515528,"[1.0, 0.25170572050682594, 106572.33961221375, 131.34274191914764, 'rbf']"
168,1.0,0.515776397515528,"[496.1380523372733, 0.1787953718713027, 19245.723362376408, 5.868600565599157, 'rbf']"
169,0.5100281618023553,0.5100207039337474,"[632.0271369309459, 0.24631057349859273, 84576.49506458476, 319.99425068954275, 'sigmoid']"
170,0.5100281618023553,0.5100207039337474,"[835.8863233833758, 0.2928097180471773, 133800.41807333488, 156.03789463203574, 'sigmoid']"
171,0.539342037890425,0.5645548654244307,"[334.1590913014257, 1e-05, 121200.97241318945, 154.98601286899202, 'linear']"
172,1.0,0.515776397515528,"[176.791499812959, 0.2752848220430124, 121781.12451574938, 210.4618983054028, 'rbf']"
173,0.5845110087045571,0.5759420289855072,"[446.1404958190288, 0.22857587145674402, 131978.17211160623, 186.8676066902037, 'poly']"
174,1.0,0.515776397515528,"[584.388015876797, 0.24646127855171768, 181554.281817263, 134.9914231450617, 'rbf']"
175,0.5359216589861752,0.5526293995859214,"[146.5668444146464, 0.27408186503063575, 136560.82616334362, 128.83160927708684, 'poly']"
176,0.6783922171018946,0.6559834368530021,"[344.384461093252, 0.2645716120816653, 81279.88486146687, 145.04658966533572, 'poly']"
177,0.8703456221198156,0.5129192546583851,"[393.10505664906185, 0.572628599357665, 100.0, 188.21971902391473, 'rbf']"
178,0.5379390681003585,0.5329606625258799,"[1000.0, 0.2260144814740365, 200000.0, 0.0001, 'poly']"
179,1.0,0.515776397515528,"[459.4338947257379, 0.3640663013379806, 84850.94367167704, 140.91733158848382, 'rbf']"
180,0.48069380440348175,0.49838509316770185,"[512.2777854434441, 0.38090987394123743, 172878.51437113254, 159.00147179772586, 'poly']"
181,1.0,0.515776397515528,"[495.14780159300113, 0.6317802983240587, 48940.689424298704, 131.9876850911634, 'rbf']"
182,0.5100281618023553,0.5100207039337474,"[446.9743784766862, 0.4484955383273796, 74765.89126916234, 193.3612597323962, 'sigmoid']"
183,0.5194086021505375,0.5441821946169771,"[1.0, 0.8, 100.0, 155.55050638773346, 'poly']"
184,0.6123502304147465,0.6019875776397515,"[830.1074499610412, 0.14755641531637642, 72795.93217652017, 220.79519073843505, 'poly']"
185,1.0,0.515776397515528,"[825.0622954715693, 0.21966297663995396, 88203.45842254219, 247.86776097600335, 'rbf']"
186,0.5100281618023553,0.5100207039337474,"[530.032739314112, 0.350282331334666, 98818.9273653568, 227.43755863044447, 'sigmoid']"
187,1.0,0.515776397515528,"[107.96107146650978, 0.3143965517488832, 124154.68670131957, 217.87182807806644, 'rbf']"
188,0.49646953405017913,0.4927950310559006,"[425.25495194501633, 0.2220071705573161, 56783.99953142546, 0.0001, 'poly']"
189,0.7528033794162827,0.7393374741200829,"[455.1959959124711, 0.40979203580058343, 121616.53957054795, 500.0, 'linear']"
