,train,test,parameters
0,1.0,0.8595859213250518,"[13, 184, 'distance', 'auto', 'chebyshev']"
1,0.8581618023553507,0.8595445134575568,"[28, 138, 'uniform', 'ball_tree', 'manhattan']"
2,0.8610240655401945,0.856687370600414,"[18, 217, 'uniform', 'brute', 'euclidean']"
3,1.0,0.8509730848861283,"[43, 208, 'distance', 'brute', 'manhattan']"
4,0.8560138248847927,0.8452173913043477,"[35, 168, 'uniform', 'kd_tree', 'manhattan']"
5,0.8689119303635433,0.8624430641821947,"[19, 241, 'uniform', 'brute', 'manhattan']"
6,0.8588812083973375,0.8538302277432711,"[26, 42, 'uniform', 'brute', 'manhattan']"
7,1.0,0.8424016563146998,"[22, 207, 'distance', 'kd_tree', 'chebyshev']"
8,1.0,0.8424016563146998,"[26, 235, 'distance', 'kd_tree', 'chebyshev']"
9,0.8488504864311315,0.8452173913043477,"[39, 164, 'uniform', 'auto', 'euclidean']"
10,0.857447516641065,0.8452173913043477,"[38, 11, 'uniform', 'auto', 'manhattan']"
11,0.8466999487967228,0.8481159420289857,"[46, 136, 'uniform', 'ball_tree', 'manhattan']"
12,1.0,0.8509730848861283,"[42, 206, 'distance', 'brute', 'euclidean']"
13,1.0,0.8509730848861283,"[47, 221, 'distance', 'ball_tree', 'euclidean']"
14,1.0,0.8739130434782609,"[9, 42, 'distance', 'kd_tree', 'manhattan']"
15,0.8918381976446493,0.853871635610766,"[5, 189, 'uniform', 'kd_tree', 'chebyshev']"
16,0.8366717869943676,0.8337888198757764,"[46, 165, 'uniform', 'kd_tree', 'chebyshev']"
17,0.9018612391193036,0.8653416149068324,"[5, 292, 'uniform', 'brute', 'manhattan']"
18,1.0,0.8652587991718427,"[15, 231, 'distance', 'kd_tree', 'manhattan']"
19,1.0,0.8509730848861283,"[20, 119, 'distance', 'brute', 'euclidean']"
20,0.8495673323092678,0.8509730848861283,"[38, 134, 'uniform', 'kd_tree', 'euclidean']"
21,1.0,0.8509730848861283,"[42, 195, 'distance', 'brute', 'manhattan']"
22,0.8452611367127496,0.8423188405797102,"[30, 287, 'uniform', 'auto', 'chebyshev']"
23,1.0,0.8595445134575568,"[23, 195, 'distance', 'kd_tree', 'manhattan']"
24,1.0,0.8652587991718427,"[13, 194, 'distance', 'brute', 'manhattan']"
25,1.0,0.8509730848861283,"[26, 232, 'distance', 'auto', 'euclidean']"
26,1.0,0.8595445134575568,"[28, 143, 'distance', 'brute', 'manhattan']"
27,0.8495673323092678,0.8509730848861283,"[38, 300, 'uniform', 'auto', 'euclidean']"
28,0.9054429083461342,0.8509316770186335,"[3, 162, 'uniform', 'auto', 'manhattan']"
29,0.8603174603174603,0.8509730848861283,"[34, 225, 'uniform', 'ball_tree', 'manhattan']"
30,0.8495647721454173,0.8423602484472049,"[44, 171, 'uniform', 'brute', 'manhattan']"
31,1.0,0.7993788819875777,"[1, 198, 'uniform', 'brute', 'euclidean']"
32,1.0,0.8681987577639753,"[12, 267, 'distance', 'brute', 'manhattan']"
33,1.0,0.8452173913043477,"[43, 209, 'distance', 'brute', 'chebyshev']"
34,1.0,0.8653002070393375,"[19, 217, 'distance', 'brute', 'manhattan']"
35,0.8509959037378392,0.8481159420289854,"[32, 231, 'uniform', 'brute', 'euclidean']"
36,1.0,0.8481159420289854,"[50, 135, 'distance', 'brute', 'manhattan']"
37,0.8660445468509984,0.8624430641821945,"[21, 1, 'uniform', 'brute', 'manhattan']"
38,0.8631822836661547,0.8566459627329192,"[13, 167, 'uniform', 'kd_tree', 'euclidean']"
39,1.0,0.8509730848861283,"[25, 198, 'distance', 'brute', 'euclidean']"
40,1.0,0.8452587991718425,"[23, 53, 'distance', 'brute', 'chebyshev']"
41,1.0,0.856687370600414,"[36, 151, 'distance', 'kd_tree', 'manhattan']"
42,0.8524347158218125,0.8452173913043477,"[37, 83, 'uniform', 'kd_tree', 'manhattan']"
43,0.8689119303635433,0.8624430641821947,"[19, 23, 'uniform', 'kd_tree', 'manhattan']"
44,1.0,0.8653002070393375,"[20, 139, 'distance', 'brute', 'manhattan']"
45,1.0,0.8423602484472049,"[37, 117, 'distance', 'ball_tree', 'chebyshev']"
46,1.0,0.8624016563146997,"[26, 180, 'distance', 'brute', 'manhattan']"
47,0.8474193548387097,0.8452587991718425,"[50, 300, 'uniform', 'kd_tree', 'euclidean']"
48,0.8689119303635433,0.8681573498964804,"[14, 97, 'uniform', 'auto', 'manhattan']"
49,0.8552969790066565,0.8509316770186335,"[29, 33, 'uniform', 'ball_tree', 'manhattan']"
50,1.0,0.8109316770186336,"[1, 71, 'uniform', 'kd_tree', 'manhattan']"
51,1.0,0.8653002070393375,"[14, 80, 'distance', 'brute', 'manhattan']"
52,0.86389400921659,0.8481159420289854,"[13, 99, 'uniform', 'kd_tree', 'chebyshev']"
53,0.8595954941116233,0.8595445134575568,"[24, 137, 'uniform', 'kd_tree', 'manhattan']"
54,0.857447516641065,0.8480745341614906,"[31, 254, 'uniform', 'brute', 'manhattan']"
55,0.843115719406042,0.8452173913043477,"[32, 1, 'uniform', 'kd_tree', 'chebyshev']"
56,1.0,0.8452173913043477,"[46, 123, 'distance', 'brute', 'manhattan']"
57,0.8524347158218125,0.8452173913043477,"[37, 58, 'uniform', 'kd_tree', 'manhattan']"
58,1.0,0.856687370600414,"[33, 136, 'distance', 'kd_tree', 'euclidean']"
59,1.0,0.8653002070393375,"[21, 160, 'distance', 'kd_tree', 'manhattan']"
60,1.0,0.8424430641821946,"[7, 127, 'distance', 'auto', 'chebyshev']"
61,1.0,0.856687370600414,"[35, 100, 'distance', 'kd_tree', 'manhattan']"
62,0.8424039938556067,0.8452587991718425,"[50, 46, 'uniform', 'ball_tree', 'manhattan']"
63,0.8581643625192011,0.8537888198757763,"[30, 28, 'uniform', 'kd_tree', 'manhattan']"
64,1.0,0.856687370600414,"[35, 84, 'distance', 'brute', 'manhattan']"
65,0.8474193548387097,0.8394616977225674,"[43, 123, 'uniform', 'ball_tree', 'manhattan']"
66,1.0,0.8595445134575568,"[27, 130, 'distance', 'brute', 'manhattan']"
67,1.0,0.8452173913043477,"[48, 259, 'distance', 'brute', 'manhattan']"
68,1.0,0.8538302277432711,"[35, 77, 'distance', 'brute', 'euclidean']"
69,0.8689119303635433,0.8624430641821947,"[19, 90, 'uniform', 'kd_tree', 'manhattan']"
70,1.0,0.8653002070393374,"[22, 1, 'distance', 'auto', 'manhattan']"
71,1.0,0.856687370600414,"[36, 45, 'distance', 'kd_tree', 'manhattan']"
72,1.0,0.856687370600414,"[30, 30, 'distance', 'brute', 'manhattan']"
73,0.8531464413722478,0.8509730848861283,"[30, 61, 'uniform', 'kd_tree', 'euclidean']"
74,1.0,0.8653002070393374,"[22, 105, 'distance', 'brute', 'manhattan']"
75,0.8545801331285203,0.8509316770186335,"[18, 57, 'uniform', 'kd_tree', 'chebyshev']"
76,1.0,0.8538302277432711,"[38, 117, 'distance', 'brute', 'manhattan']"
77,1.0,0.8109316770186336,"[1, 300, 'uniform', 'kd_tree', 'manhattan']"
78,1.0,0.8509730848861283,"[43, 88, 'distance', 'brute', 'euclidean']"
79,0.863179723502304,0.8624430641821945,"[22, 118, 'uniform', 'kd_tree', 'manhattan']"
80,1.0,0.853871635610766,"[14, 182, 'distance', 'kd_tree', 'chebyshev']"
81,0.9018612391193036,0.8653416149068324,"[5, 64, 'uniform', 'ball_tree', 'manhattan']"
82,1.0,0.8624430641821947,"[11, 39, 'distance', 'ball_tree', 'euclidean']"
83,1.0,0.8595445134575568,"[31, 48, 'distance', 'kd_tree', 'manhattan']"
84,0.8696287762416794,0.8566873706004141,"[13, 65, 'uniform', 'kd_tree', 'manhattan']"
85,0.8739144905273937,0.8738716356107661,"[10, 183, 'uniform', 'kd_tree', 'manhattan']"
86,0.8803635432667691,0.8681573498964802,"[8, 76, 'uniform', 'ball_tree', 'manhattan']"
87,0.8574423963133639,0.8452587991718425,"[22, 74, 'uniform', 'brute', 'euclidean']"
88,0.8495647721454173,0.8509730848861283,"[29, 76, 'uniform', 'kd_tree', 'euclidean']"
