,train,test,parameters
0,0.7844553529686771,0.7760869565217392,"[22, 153, 'uniform', 'kd_tree', 'chebyshev']"
1,0.7758765778401123,0.7322463768115942,"[6, 224, 'uniform', 'auto', 'manhattan']"
2,1.0,0.7764492753623189,"[25, 254, 'distance', 'auto', 'euclidean']"
3,1.0,0.7065217391304348,"[4, 146, 'distance', 'brute', 'chebyshev']"
4,0.68971482000935,0.6728260869565217,"[50, 5, 'uniform', 'brute', 'manhattan']"
5,0.6465638148667601,0.6547101449275361,"[42, 294, 'uniform', 'kd_tree', 'chebyshev']"
6,1.0,0.7847826086956522,"[28, 186, 'distance', 'ball_tree', 'manhattan']"
7,1.0,0.7847826086956522,"[44, 262, 'distance', 'brute', 'manhattan']"
8,1.0,0.7851449275362319,"[20, 196, 'distance', 'brute', 'chebyshev']"
9,1.0,0.7586956521739131,"[11, 259, 'distance', 'ball_tree', 'euclidean']"
10,0.7672510518934083,0.7586956521739131,"[22, 254, 'uniform', 'ball_tree', 'euclidean']"
11,0.8555165965404395,0.6387681159420289,"[3, 24, 'uniform', 'auto', 'chebyshev']"
12,0.7909537166900421,0.7844202898550724,"[11, 228, 'uniform', 'ball_tree', 'chebyshev']"
13,0.6573632538569425,0.6891304347826088,"[38, 21, 'uniform', 'brute', 'chebyshev']"
14,0.8598644226273959,0.6978260869565217,"[2, 220, 'uniform', 'auto', 'manhattan']"
15,0.7780738662926602,0.7246376811594203,"[11, 237, 'uniform', 'kd_tree', 'manhattan']"
16,0.7974287050023376,0.7670289855072463,"[17, 20, 'uniform', 'brute', 'chebyshev']"
17,0.6938990182328192,0.6554347826086955,"[42, 230, 'uniform', 'ball_tree', 'manhattan']"
18,0.7154978962131839,0.7148550724637681,"[29, 247, 'uniform', 'auto', 'chebyshev']"
19,0.7866760168302946,0.7503623188405797,"[15, 29, 'uniform', 'kd_tree', 'manhattan']"
20,1.0,0.7760869565217391,"[36, 171, 'distance', 'auto', 'manhattan']"
21,0.7672978027115475,0.7673913043478262,"[24, 69, 'uniform', 'auto', 'manhattan']"
22,1.0,0.7931159420289855,"[29, 51, 'distance', 'kd_tree', 'euclidean']"
23,0.7672978027115475,0.7673913043478262,"[24, 119, 'uniform', 'kd_tree', 'manhattan']"
24,1.0,0.7496376811594203,"[1, 54, 'uniform', 'brute', 'manhattan']"
25,1.0,0.7590579710144928,"[50, 223, 'distance', 'brute', 'manhattan']"
26,0.6508648901355774,0.6463768115942028,"[41, 155, 'uniform', 'brute', 'chebyshev']"
27,0.7456755493221132,0.7496376811594203,"[26, 1, 'uniform', 'brute', 'chebyshev']"
28,0.788779803646564,0.7416666666666666,"[20, 99, 'uniform', 'kd_tree', 'manhattan']"
29,0.7909303412809725,0.7590579710144928,"[19, 128, 'uniform', 'ball_tree', 'manhattan']"
30,0.7198223468910706,0.7148550724637681,"[27, 176, 'uniform', 'auto', 'chebyshev']"
31,0.7522206638616178,0.7507246376811594,"[27, 153, 'uniform', 'brute', 'manhattan']"
32,1.0,0.7847826086956522,"[31, 106, 'distance', 'kd_tree', 'manhattan']"
33,0.6745208041140719,0.6467391304347825,"[41, 299, 'uniform', 'brute', 'manhattan']"
34,1.0,0.7760869565217391,"[30, 25, 'distance', 'brute', 'chebyshev']"
35,0.7974053295932679,0.7931159420289855,"[16, 77, 'uniform', 'kd_tree', 'chebyshev']"
36,1.0,0.7760869565217391,"[36, 300, 'distance', 'brute', 'manhattan']"
37,0.7564749883122955,0.7333333333333332,"[14, 162, 'uniform', 'brute', 'manhattan']"
38,0.7241000467508183,0.6981884057971015,"[36, 117, 'uniform', 'kd_tree', 'manhattan']"
