,train,test,parameters
0,0.5517297802711547,0.5518115942028985,"[717.7124827398918, 0.17263339303120295, 41712.242799413434, 198.48468375157282, 'sigmoid']"
1,0.5517297802711547,0.5518115942028985,"[84.17686759355261, 0.7955259501328658, 36617.24248270438, 356.77170953110215, 'sigmoid']"
2,0.5987377279102384,0.5778985507246377,"[799.8091734684727, 0.6610336628541886, 51788.96347663379, 458.7653556480697, 'poly']"
3,0.5776063581112669,0.6376811594202898,"[682.6452554133397, 0.19642960136196963, 164518.93127138735, 352.6377014299607, 'linear']"
4,0.5707339878447872,0.5264492753623189,"[394.84227134120476, 0.7558498824249836, 141021.65116127947, 263.3058032211094, 'linear']"
5,0.4376344086021505,0.42971014492753623,"[994.7807673094132, 0.4415049468497661, 86170.4068121392, 407.118573917332, 'linear']"
6,1.0,0.5518115942028985,"[341.0617288763495, 0.055733604241703025, 82035.21848310961, 204.63123159945087, 'rbf']"
7,1.0,0.5518115942028985,"[49.802059896647506, 0.25085629078760885, 21298.89782992365, 75.5707607721841, 'rbf']"
8,1.0,0.5518115942028985,"[71.95437670702553, 0.19971372961146877, 25932.393372472787, 209.6059820923674, 'rbf']"
9,0.5517297802711547,0.5518115942028985,"[18.52762270365352, 0.6973940978703729, 126425.60889534366, 369.0819685257644, 'sigmoid']"
10,1.0,0.5518115942028985,"[354.2196622996485, 0.748128786451274, 106143.55230020407, 404.4323184667196, 'rbf']"
11,1.0,0.5518115942028985,"[438.6544221079292, 0.6550418082347743, 37343.57830735117, 179.1547753231107, 'rbf']"
12,0.5758298270219729,0.5760869565217391,"[22.72609727764762, 0.47516053805024566, 96450.77863410334, 3.4272964835667574, 'poly']"
13,0.605750350631136,0.5597826086956521,"[948.5594908209493, 0.2668229234115101, 81760.38907008279, 171.1145238412682, 'poly']"
14,0.607947639083684,0.6108695652173912,"[901.1785601580448, 0.00967798945446458, 177785.45528848254, 181.11196701401835, 'poly']"
15,0.6293127629733519,0.6126811594202899,"[27.14832951236195, 0.6435754803114625, 107859.13220264566, 150.89998696314098, 'poly']"
16,0.5086021505376344,0.5177536231884059,"[736.6269869765041, 0.48685366822002957, 172065.70785631996, 85.3559523173104, 'linear']"
17,1.0,0.5518115942028985,"[833.5448557552371, 0.19373247961310294, 179787.67280691315, 405.10661222810126, 'rbf']"
18,1.0,0.5518115942028985,"[792.7975662019934, 0.6719215483166514, 61218.42154655224, 295.86629406040277, 'rbf']"
19,1.0,0.5518115942028985,"[593.8071699989181, 0.7905098753656272, 49482.70906130248, 485.69708881243656, 'rbf']"
20,0.5950911640953718,0.5771739130434782,"[679.589368855154, 0.5484710331092782, 100.0, 139.49182320255838, 'linear']"
21,0.5517297802711547,0.5518115942028985,"[744.8465492555358, 1e-05, 155429.72584724965, 441.7779571031608, 'sigmoid']"
22,1.0,0.5518115942028985,"[272.13352349196646, 0.384593791561004, 109636.45407063725, 160.4513865807048, 'rbf']"
23,1.0,0.5518115942028985,"[238.80094519855064, 0.5163898585744896, 113645.08302265943, 45.68107402196991, 'rbf']"
24,0.640205703599813,0.5942028985507246,"[266.2418728965712, 0.41589779716117814, 57038.08125168547, 353.2837366517482, 'poly']"
25,1.0,0.5518115942028985,"[1.0, 0.5170105758153749, 4385.234601483622, 450.30262484772715, 'rbf']"
26,0.5517297802711547,0.5518115942028985,"[458.22652137630286, 0.48771082443962477, 42701.99243276402, 234.39806380698627, 'sigmoid']"
27,0.5819308087891538,0.5253623188405797,"[1000.0, 0.3377073657607226, 200000.0, 229.3152233383151, 'poly']"
