,train,test,parameters
0,0.4893641888733053,0.4909420289855073,"[301, 340, 0.16889, 0.05, 39620, 0.26062, 0.4497, 0.3183, 984, 'tanh', 'adam', 'invscaling']"
1,0.9137213651238898,0.7068840579710145,"[304, 425, 0.49244, 0.3177, 12963, 0.08914, 0.7217, 0.8074, 793, 'tanh', 'lbfgs', 'invscaling']"
2,0.5517297802711547,0.5518115942028985,"[265, 47, 0.42748, 0.4654, 29981, 0.1403, 0.3088, 0.5091, 792, 'relu', 'adam', 'adaptive']"
3,0.5323749415614774,0.5257246376811594,"[468, 412, 0.43744, 0.0372, 42244, 0.36878, 0.2042, 0.6802, 62, 'relu', 'sgd', 'constant']"
4,0.4893641888733053,0.4909420289855072,"[266, 182, 0.38871, 0.2115, 19207, 0.35485, 0.6275, 0.3109, 455, 'tanh', 'adam', 'adaptive']"
5,0.5517297802711547,0.5518115942028985,"[115, 413, 0.19201, 0.4617, 39931, 0.03349, 0.8299, 0.8524, 674, 'logistic', 'lbfgs', 'invscaling']"
6,0.5323749415614774,0.5257246376811594,"[105, 205, 0.36329, 0.4304, 47844, 0.45908, 0.3008, 0.9398, 531, 'logistic', 'adam', 'constant']"
7,0.7392005610098178,0.7068840579710145,"[321, 86, 0.0491, 0.4005, 39827, 0.09364, 0.0104, 0.9528, 535, 'identity', 'lbfgs', 'constant']"
8,0.5517297802711547,0.5518115942028985,"[340, 281, 0.1177, 0.3301, 9721, 0.37332, 0.0101, 0.704, 407, 'relu', 'sgd', 'adaptive']"
9,0.5106358111266946,0.5090579710144928,"[228, 149, 0.49543, 0.3374, 36355, 0.04053, 0.7985, 0.2646, 220, 'relu', 'adam', 'invscaling']"
10,0.5690977092099112,0.5597826086956521,"[238, 132, 0.27852, 0.4813, 43066, 0.17542, 0.876, 0.3823, 120, 'identity', 'adam', 'invscaling']"
11,0.4869798971482001,0.5003623188405797,"[415, 413, 0.39336, 0.2799, 28027, 0.02802, 0.2081, 0.3889, 173, 'logistic', 'adam', 'adaptive']"
12,0.5517297802711547,0.5518115942028985,"[328, 307, 0.10548, 0.3543, 36556, 0.42621, 0.4421, 0.7378, 690, 'relu', 'sgd', 'invscaling']"
13,0.7500467508181394,0.6967391304347826,"[394, 203, 0.26669, 0.1754, 25950, 0.01463, 0.147, 0.5974, 982, 'logistic', 'sgd', 'constant']"
14,0.8146096306685366,0.7318840579710144,"[244, 27, 0.06281, 0.1928, 31111, 0.28541, 0.7643, 0.3137, 603, 'tanh', 'sgd', 'invscaling']"
15,0.8470079476390838,0.7413043478260869,"[213, 92, 0.3147, 0.0323, 4566, 0.43252, 0.7914, 0.2044, 828, 'tanh', 'sgd', 'adaptive']"
16,0.4482702197288453,0.44818840579710145,"[373, 35, 0.07019, 0.3566, 10289, 0.11436, 0.3666, 0.3499, 510, 'logistic', 'lbfgs', 'constant']"
17,0.5517297802711547,0.5518115942028985,"[299, 25, 0.414, 0.4474, 42331, 0.30919, 0.8947, 0.5854, 692, 'relu', 'sgd', 'constant']"
18,0.5106358111266946,0.5090579710144927,"[304, 375, 0.14069, 0.3952, 43209, 0.30974, 0.7395, 0.3354, 929, 'tanh', 'adam', 'constant']"
19,0.7284244974287051,0.7326086956521739,"[142, 28, 0.28585, 0.3355, 12068, 0.15138, 0.0187, 0.9815, 890, 'identity', 'lbfgs', 'constant']"
20,0.7025712949976625,0.6981884057971015,"[355, 335, 0.29822, 0.2456, 19411, 0.34106, 0.5537, 0.4182, 422, 'logistic', 'sgd', 'invscaling']"
21,0.9956989247311828,0.7413043478260869,"[232, 500, 0.31247, 0.3097, 5632, 0.0344, 0.5099, 0.0888, 641, 'tanh', 'lbfgs', 'invscaling']"
22,0.7478494623655914,0.6800724637681159,"[326, 146, 0.3215, 0.5, 31369, 0.31456, 0.2625, 0.1653, 450, 'tanh', 'lbfgs', 'constant']"
23,0.5517297802711547,0.5518115942028985,"[1, 308, 0.5, 0.1478, 21758, 0.14587, 0.4108, 0.341, 769, 'logistic', 'sgd', 'constant']"
24,0.4893641888733053,0.4909420289855073,"[467, 41, 0.25121, 0.1761, 17549, 0.24239, 0.6648, 0.3181, 42, 'logistic', 'lbfgs', 'invscaling']"
