,train,test,parameters
0,0.4899718381976446,0.4899792960662526,"[124, 258, 0.12134, 0.3756, 26819, 0.17869, 0.1886, 0.8927, 916, 'identity', 'sgd', 'invscaling']"
1,0.6969636456733231,0.6621532091097307,"[251, 113, 0.04916, 0.1092, 23182, 0.05468, 0.6976, 0.6346, 720, 'tanh', 'sgd', 'constant']"
2,0.770757808499744,0.7678260869565217,"[337, 407, 0.42019, 0.2746, 49205, 0.05795, 0.4055, 0.155, 801, 'logistic', 'sgd', 'constant']"
3,0.7779262672811059,0.7879089026915114,"[66, 166, 0.3449, 0.2288, 39675, 0.4277, 0.3896, 0.7021, 813, 'logistic', 'adam', 'adaptive']"
4,0.8402073732718895,0.7996273291925464,"[103, 15, 0.16493, 0.4026, 36051, 0.14119, 0.833, 0.2645, 500, 'relu', 'lbfgs', 'invscaling']"
5,0.7837071172555043,0.7879089026915114,"[15, 397, 0.28688, 0.4334, 20861, 0.36638, 0.4405, 0.1626, 695, 'identity', 'lbfgs', 'invscaling']"
6,0.8882539682539683,0.7936645962732919,"[297, 431, 0.35077, 0.2542, 26347, 0.1977, 0.5383, 0.5385, 369, 'tanh', 'sgd', 'adaptive']"
7,0.5637916026625704,0.5785921325051759,"[289, 473, 0.24263, 0.3599, 12408, 0.34691, 0.7018, 0.5798, 3, 'relu', 'adam', 'adaptive']"
8,0.7707910906298003,0.7822360248447204,"[198, 120, 0.43612, 0.3765, 1243, 0.42694, 0.6108, 0.1568, 610, 'identity', 'lbfgs', 'constant']"
9,0.8001177675371223,0.7506418219461698,"[126, 112, 0.08058, 0.0668, 1944, 0.30605, 0.4468, 0.7072, 137, 'logistic', 'sgd', 'constant']"
10,0.5107424475166411,0.5043064182194616,"[413, 82, 0.00326, 0.2733, 1680, 0.39746, 0.0825, 0.0696, 253, 'relu', 'adam', 'constant']"
11,0.8259114183307732,0.805175983436853,"[450, 50, 0.13047, 0.4153, 30271, 0.22834, 0.4815, 0.0428, 570, 'logistic', 'sgd', 'invscaling']"
12,0.7457322068612392,0.7365631469979296,"[208, 327, 0.0832, 0.2, 3529, 0.30101, 0.9584, 0.248, 217, 'tanh', 'lbfgs', 'invscaling']"
13,0.8481336405529953,0.7621118012422359,"[451, 110, 0.00841, 0.3237, 6336, 0.1806, 0.4575, 0.9257, 647, 'logistic', 'sgd', 'adaptive']"
14,0.781505376344086,0.7878674948240165,"[63, 156, 0.29102, 0.4501, 8123, 0.43685, 0.8699, 0.8588, 261, 'logistic', 'sgd', 'invscaling']"
15,0.7198438300051203,0.7280745341614907,"[461, 141, 0.44024, 0.2177, 29162, 0.45216, 0.5531, 0.6313, 230, 'identity', 'adam', 'invscaling']"
16,0.8254403481822837,0.7843064182194617,"[248, 466, 0.40534, 0.4183, 38445, 0.22043, 0.358, 0.6285, 613, 'logistic', 'sgd', 'adaptive']"
17,0.5064439324116743,0.5043064182194616,"[149, 463, 0.07568, 0.3715, 7954, 0.29135, 0.0071, 0.4684, 907, 'tanh', 'sgd', 'constant']"
18,0.8302406554019457,0.7706832298136647,"[353, 297, 0.04798, 0.116, 39797, 0.05201, 0.9133, 0.3372, 413, 'tanh', 'sgd', 'invscaling']"
19,0.4899718381976446,0.4899792960662526,"[313, 339, 0.04356, 0.2809, 16500, 0.31212, 0.2712, 0.6558, 190, 'identity', 'sgd', 'invscaling']"
20,0.505010240655402,0.5100207039337474,"[118, 216, 0.29894, 0.243, 33418, 0.33712, 0.5358, 0.2088, 1, 'logistic', 'sgd', 'invscaling']"
21,0.5100281618023553,0.5100207039337474,"[225, 330, 0.31579, 0.3758, 25968, 0.27958, 0.1213, 0.1312, 725, 'relu', 'sgd', 'adaptive']"
22,0.7507117255504352,0.724968944099379,"[359, 250, 0.48842, 0.2119, 49137, 0.45034, 0.5977, 0.5931, 728, 'tanh', 'lbfgs', 'adaptive']"
23,0.4713184843830005,0.47859213250517596,"[29, 259, 0.16939, 0.2009, 30800, 0.38016, 0.2969, 0.5957, 505, 'logistic', 'lbfgs', 'adaptive']"
24,0.4899718381976446,0.4899792960662526,"[326, 289, 0.36596, 0.1268, 11897, 0.21992, 0.2981, 0.5352, 431, 'identity', 'sgd', 'invscaling']"
25,0.5714567332309267,0.5737888198757763,"[500, 147, 0.18424, 0.1304, 27934, 0.40855, 0.4744, 0.2883, 888, 'tanh', 'adam', 'constant']"
26,0.6704761904761904,0.6390062111801242,"[228, 1, 0.35882, 0.2561, 20018, 0.16853, 0.1761, 0.4789, 582, 'tanh', 'lbfgs', 'constant']"
27,0.4899718381976446,0.4899792960662526,"[416, 500, 0.37851, 0.1396, 31088, 0.24331, 0.2243, 0.8484, 260, 'identity', 'sgd', 'invscaling']"
28,0.8037352790578598,0.7965217391304348,"[492, 326, 0.39316, 0.1246, 42339, 0.13879, 0.802, 0.4044, 608, 'logistic', 'sgd', 'invscaling']"
29,0.505742447516641,0.5071221532091097,"[484, 234, 0.27032, 0.5, 9783, 0.38447, 0.1889, 0.2614, 583, 'tanh', 'sgd', 'constant']"
30,0.8015821812596006,0.805175983436853,"[215, 231, 1e-05, 0.0809, 50000, 0.09432, 0.7039, 0.2956, 648, 'identity', 'lbfgs', 'constant']"
31,0.8151817716333845,0.7707660455486541,"[270, 239, 0.33665, 0.0442, 21505, 0.14742, 0.2304, 0.5454, 503, 'tanh', 'sgd', 'invscaling']"
32,0.5815847414234512,0.5618633540372671,"[1, 331, 0.29814, 0.3207, 1000, 0.26475, 0.2885, 0.3194, 504, 'logistic', 'sgd', 'invscaling']"
33,0.8194751664106503,0.7592960662525879,"[338, 226, 0.5, 0.1049, 35594, 0.19298, 0.001, 0.7215, 373, 'tanh', 'sgd', 'invscaling']"
34,0.7500076804915515,0.7478260869565216,"[48, 260, 0.40245, 0.0933, 26152, 0.24305, 0.999, 0.999, 506, 'logistic', 'sgd', 'invscaling']"
35,,,"[202, 289, 0.39743, 0.0, 32747, 0.5, 0.3917, 0.3147, 395, 'logistic', 'sgd', 'invscaling']"
36,0.9219201228878647,0.8595859213250516,"[443, 204, 0.32507, 0.0538, 43174, 0.16989, 0.5297, 0.001, 675, 'logistic', 'sgd', 'adaptive']"
37,0.7965642601126471,0.7880331262939958,"[226, 200, 0.28756, 0.1944, 11967, 0.21612, 0.6683, 0.3962, 881, 'identity', 'lbfgs', 'invscaling']"
38,0.8689528929851511,0.83648033126294,"[228, 284, 0.40239, 0.3031, 45958, 1e-05, 0.6595, 0.1383, 378, 'logistic', 'sgd', 'invscaling']"
39,0.8746210957501279,0.8710559006211179,"[181, 317, 0.40361, 0.0377, 46913, 0.12393, 0.5656, 0.894, 1000, 'relu', 'adam', 'invscaling']"
40,0.4585611879160266,0.46679089026915116,"[96, 313, 0.33164, 0.3159, 33990, 0.2011, 0.7262, 0.001, 1, 'relu', 'adam', 'invscaling']"
41,0.8058730158730159,0.7764803312629399,"[188, 419, 0.41883, 0.0235, 22515, 0.02432, 0.2059, 0.999, 467, 'tanh', 'sgd', 'invscaling']"
42,0.732068612391193,0.7537474120082817,"[238, 323, 0.19629, 0.3094, 18237, 0.5, 0.2197, 0.8177, 357, 'logistic', 'sgd', 'constant']"
43,0.8137352790578596,0.7678260869565218,"[35, 237, 0.38687, 0.2906, 19918, 0.2116, 0.4404, 0.7158, 876, 'tanh', 'sgd', 'adaptive']"
44,0.7793522785458269,0.7766045548654243,"[128, 97, 0.24746, 0.2743, 50000, 0.13939, 0.2104, 0.7626, 144, 'identity', 'lbfgs', 'invscaling']"
