,train,test,parameters
0,0.8856019358741681,0.8771428571428572,"[207, 289, 0.45327, 0.1235, 26253, 0.21843, 0.2401, 0.7031, 477, 'identity', 'sgd', 'invscaling']"
1,0.7083484573502722,0.7085714285714286,"[234, 421, 0.13954, 0.198, 36222, 0.13775, 0.0593, 0.6183, 797, 'relu', 'adam', 'invscaling']"
2,0.7083484573502722,0.7085714285714286,"[203, 487, 0.14522, 0.0773, 7338, 0.0504, 0.4962, 0.4343, 759, 'logistic', 'lbfgs', 'invscaling']"
3,0.7083484573502722,0.7085714285714286,"[257, 25, 0.32898, 0.3564, 5255, 0.22735, 0.2224, 0.385, 58, 'tanh', 'sgd', 'constant']"
4,0.7083484573502722,0.7085714285714286,"[377, 362, 0.20098, 0.4285, 33696, 0.34578, 0.873, 0.7851, 649, 'identity', 'sgd', 'constant']"
5,0.7117967332123412,0.6942857142857143,"[342, 455, 0.3032, 0.2686, 41853, 0.15705, 0.859, 0.4967, 447, 'relu', 'sgd', 'constant']"
6,0.8195402298850574,0.82,"[136, 77, 0.2343, 0.0513, 12642, 0.04623, 0.4697, 0.2889, 63, 'tanh', 'adam', 'constant']"
7,0.941016333938294,0.8752380952380954,"[389, 477, 0.20786, 0.3306, 22446, 0.01372, 0.397, 0.8914, 905, 'tanh', 'sgd', 'invscaling']"
8,0.7083484573502722,0.7228571428571429,"[434, 374, 0.2969, 0.4753, 17858, 0.35337, 0.8995, 0.4563, 608, 'identity', 'lbfgs', 'constant']"
9,0.7083484573502722,0.7085714285714286,"[88, 115, 0.39259, 0.3465, 21232, 0.42596, 0.5936, 0.8887, 14, 'logistic', 'sgd', 'constant']"
10,0.8753176043557168,0.8771428571428572,"[428, 116, 0.15273, 0.2451, 21721, 0.20138, 0.6865, 0.4438, 988, 'relu', 'sgd', 'invscaling']"
11,0.941016333938294,0.878095238095238,"[109, 219, 0.33482, 0.4893, 23230, 0.01672, 0.0257, 0.0624, 263, 'relu', 'sgd', 'invscaling']"
12,0.951482153660012,0.8771428571428572,"[119, 106, 0.27997, 0.3774, 11709, 0.13213, 0.6652, 0.3162, 531, 'tanh', 'sgd', 'adaptive']"
